un_065150_0010#0,"""앗, <%me>.<br>준비는 어때？"""
un_065150_0020#0,"""나는 물론 준비 다 끝났어.<br>……드디어 때가 왔네."""
un_065150_0030#0,"""자, 주목！<br>그럼 수호휘사 두 분께<br>갑작스럽지만 질문입니다！"""
un_065150_0040#0,"""어, 어어？<br>갑자기 무슨 일이야……？"""
un_065150_0050#0,"""문제！ 수호휘사 두 분은<br>어떤 마음으로 이번 싸움에<br>나서려는 걸까요！？"""
un_065150_0060#0,"""질문이 아니라<br>문제가 돼 버렸어<br>파티……"""
un_065150_0070#0,"""다음 보기 중 어느 쪽！？<br>Ａ：죽더라도 시바를 쓰러뜨린다！<br>Ｂ：반드시 살아서 돌아온다！"""
un_065150_0080#0,"""만약 Ａ를 고른다면<br>내가 죽는 한이 있어도 여길……"""
un_065150_0090#0,"""……왜 그래, 파티？"""
un_065150_0100#0,"""아니, 죽어도 못 지나간다고<br>말하려던 참이었는데……<br>남을 위해 목숨을 바치는 것도 멋지지 않아？"""
un_065150_0110#0,"""왜 거기서 갑자기 말을 바꾸는 거야……"""
un_065150_0120#0,"""강적 앞에서 꼼짝없이 궁지에 몰린 순간！<br>「여긴 내게 맡기고 먼저 가！」<br>이것도 가슴이 뜨거워지잖아！"""
un_065150_0130#0,"""정말이지……<br>잘 들어, 파티.<br>1 빼기 1은 얼마야？"""
un_065150_0140#0,"""바보 취급하지 마！<br>당연히 1이지！"""
un_065150_0150#0,"""당연하지 않거든……<br>답은 0이잖아？"""
un_065150_0160#0,"""아, 그렇구나…… 그래서？"""
un_065150_0170#0,"""목표를 이뤄도<br>소중한 사람이 죽으면<br>1 빼기 1이라서 0이야."""
un_065150_0180#0,"""그럼 응용 문제.<br>목표도 이루고<br>소중한 사람도 살아 돌아오면？"""
un_065150_0190#0,"""그러면 1 더하기 1이라서……<br>답은 2다아！"""
un_065150_0200#0,"""네, 잘했어.<br>그러니까 두 분도 아시겠죠."""
un_065150_0210#0,"""죽음을 각오해야 할 때도 있겠죠.<br>하지만 그 결과로 두 분을<br>잃게 된다면……"""
un_065150_0220#0,"""1 빼기 2는 모르겠어！<br>그래도 하고 싶은 말은<br>전해졌지！"""
un_065150_0230#0,"""그럼 처음 질문의 답을<br>두 분이 동시에 말해 주세요！"""
un_065150_0240#0,"""반드시 살아서 돌아온다！"""
un_065150_0250#0,"""응…… 나도 약속할게.<br>반드시 살아서 돌아올게."""
un_065150_0260#0,"""반드시 약속한 거야！<br>어기면 두 사람의 부끄러운<br>정보를 싹 퍼뜨릴 거니까！"""
un_065150_0270#0,"""어, 어어！？<br>아니야, 나한테 그런 건<br>없을 텐데……"""
un_065150_0280#0,"""호, 혹시 그때 일인가……<br>아…… 아니면 설마<br><%me>에게 몰래……"""
un_065150_0290#0,"""마, 마토이 씨！<br>파티 말에 넘어가서<br>말하면 안 돼요！"""
