Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/ci4 1 으으, 이오 선배.<br>죄송해요……"""
Success#1,"""/ci2 1 그, 그렇지 않아요！<br>이오 선배도 정말정말<br>멋졌어요！"""
Failure#1,"""/ci4 1 ……죄송했습니다.<br>다음에는 폐를 끼치지 않도록<br>더욱더 노력할게요！"""
Dead#1,"""/ci4 2 그럴 수가……저는 그저<br>케이크 가게에 가 보고 싶었을<br>뿐인데……"""
BuddyDead#1,"""/mn13 /ci1 2 이오 선배！<br>제가 짐이 된 탓에……"""
Evolution#1,"""/ci4 1 으으, 이오 선배. 죄송해요.<br>이상한 일에 말려들게 해서요."""
Begin#2,"""/mn1 /ci1 2 기, 기다려 주세요！<br>아, 선배. 도와주실 수 있나요……？<br>그게……따라갈 수가 없어서요."""
Success#2,"""/ci4 2 네, 네！ 역시 대단하세요……！<br>아, 기다려 주세요！<br>선배, 감사했습니다！"""
Failure#2,"""/mn23 /ci4 3 으으……죄송해요.<br>아직 많이 부족했어요……<br>선배, 먼저 물러날게요."""
Dead#2,"""/mn5 아아……죄송해요……<br>저, 이제 한계예요……"""
BuddyDead#2,"""/mn2 와앗……！<br>너무 무리하셨어요……<br>선배, 히, 힘내요！"""
Begin#3,"""/ci1 2 저, 저도<br>짐이 되지 않도록<br>힘낼게요！"""
Success#3,"""/ci2 1 역시 선배는 대단하세요.<br>분명 시바도 이길 수 있어요！<br>여기는 저희에게 맡겨 주세요！"""
Failure#3,"""/mn23 /ci4 3 죄송해요, 선배……<br>저희는 여기까지예요……<br>부디 무사히 돌아와 주세요……"""
Dead#3,"""짐이 돼서……<br>죄송합니다……"""
BuddyDead#3,"""/ci4 2 저, 저 혼자 남은 거예요！？<br>불안하지만 힘내야 해……！"""
