st_065090_0230#0,"""<%me>.<br>그 선택은 옳았다."""
st_065090_0240#0,"""……우주가 태어나기 전의 모습.<br>기억조차 시작되지 않은 무의 공간.<br>파멸시킬 것이 없는 곳."""
st_065090_0250#0,"""모든 것을 없애려는 의지는 이곳에서 꺾여<br>당신과 함께 이곳에서 사라진다."""
st_065090_0260#0,"""그리고 이제부터 우주가 시작된다."""
st_065090_0270#0,"""우주가 시작되기 전에 이곳에 닿은 빛.<br>우주의 원점에서 사라진 하나의 빛.<br>그 빛에서 아카식 레코드가 태어난다."""
st_065090_0280#0,"""당신은 태초부터 이곳에 존재했던 것이다.<br>모든 역사를 아는 존재로서."""
st_065090_0290#0,"""모든 것은 이곳에서 시작되어<br>……이곳에서 끝난다."""
st_065090_0300#0,"""이걸로 세계를 구할 수 있다면……"""
st_065090_0310#0,"""……그래도 미래로 나아가고 싶었어"""
st_065100_0010#0,"""거대한 빛은 그 안에 깃들어<br>이곳에서 눈부시게 빛나기 시작한다."""
st_065100_0020#0,"""……이제 우주가 시작된다.<br>세상을 여는 빛을 지켜보자."""
st_065100_0030#0,"""저것이 아카식 레코드의 빛.<br>앞으로 끊임없이 이어질 역사의 실.<br>당신이 만들어 낸 세계의 모습이다."""
st_065100_0040#0,"""이렇게 역사가 시작된다.<br>……되풀이되는 역사가 이곳에서부터."""
st_065110_0010#0,"""……하지만."""
st_065110_0020#0,"""하지만, 그래도."""
st_065110_0030#0,"""과거에서 지금으로 이어진<br>이 역사를 잃게 되더라도……"""
st_065110_0040#0,"""……하지만 앞으로의 미래에서<br>당신이 사라져서는 안 된다."""
st_065110_0050#0,"""<%me>.<br>들릴 것이다.<br>모두가 부르는 목소리가."""
st_065110_0060#0,"""<%me>.<br>보일 것이다.<br>손을 뻗으면 닿을 그 손이."""
st_065110_0070#0,"""이 세계에만 속한 그릇이었다면<br>지금의 역사를 되풀이할 뿐이었다."""
st_065110_0080#0,"""하지만 세계를 넘어 이어진 유대는<br>새로운 미래를 자아낸다."""
st_065110_0090#0,"""눈을 떠라. 기억을 잇고 미래로 나아가라."""
st_065110_0100#0,"""<%me>.<br>태초의 존재이자 마지막 아크스여."""
st_065110_0110#0,"""당신이 지금까지 이어 온 역사에서<br>모든 답이 모여든다."""
st_065110_0120#0,"""나는 당신을 만난 것에<br>……감사한다."""
window_message_0000#0,"""이전까지의 진행 상황이 기록되어 있습니다.<br>이어서 플레이하시겠습니까？<br><br>「처음부터 플레이한다」를 골라도 기록은 유지됩니다."""
window_message_0010#0,"""이어서 플레이한다"""
window_message_0020#0,"""처음부터 플레이한다"""
