Begin#0,"""개시 5151"""
Success#0,"""成功5151"""
Failure#0,"""失敗5151"""
Dead#0,"""自分死亡5151"""
BuddyDead#0,"""相手死亡5151"""
Evolution#0,"""発展5151"""
Begin#1,"""/ci1 2 저는……저의 의지로.<br>지금은 그대의 힘이 되고자 하는<br>그것 뿐입니다."""
Success#1,"""/ci1 5 분명 괜찮을 거에요.<br>당신께서는 그런 분이시니까요."""
Failure#1,"""……더 이상의 무리는<br>오히려 폐가 될거라 생각합니다.<br>……남은 건 그대 하기 나름……"""
Dead#1,"""……힘이 부족했습니다. 죄송해요."""
BuddyDead#1,"""……그럴 리가 없어요.<br>어서 일어나주세요."""
Begin#2,"""/ci1 2 <%me>님<br>마토이 씨!<br>가세합니다!"""
Success#2,"""/ci1 5 힘이 돼서 다행입니다.<br>나머지는 맡겨두세요.<br>두 분 모두 무사하시길."""
Failure#2,"""양동을 해야할 저희들이<br>먼저 이탈해버리다니……<br>죄송합니다…"""
Dead#2,"""죄송합니다……<br>뒤를 부탁드립니다."""
BuddyDead#2,"""/ci1 3 어려운 상황이네요……<br>하지만 저는 아직 싸울 수 있어요!"""
