st_065020_0001#0,"""A.P.242/3/29"""
st_065020_0010#0,"""앗, 저건……<br>레기아스 씨랑 알마 씨?"""
st_065020_0020#0,"""다음 싸움은 아크스에게<br>큰 의미를 가진 싸움이다.<br>반드시 이겨야 하는 싸움이지."""
st_065020_0030#0,"""…응, 그렇네.<br>진다면 거기서 끝이니깐 말이지."""
st_065020_0040#0,"""나는 아크스 모두를 지키기 위해서<br>이 몸을 버릴 각오로 싸움에 임하겠다."""
st_065020_0050#0,"""…아니군, 각오가 아니구만.<br>얼마 안 있어 현실이 되버리겠지"""
st_065020_0060#0,"""…응, 잘 알고 있어.<br>말려도 소용 없을 거라 알아.<br>기 군은 항상 그러거든."""
st_065020_0070#0,"""…너와 한 약속, 지키지 못한 채로<br>쓰러지는게 사무치게 슬플거라 생각해."""
st_065020_0080#0,"""허나, 그럼에도 반드시 해야하지.<br>미래로 가는 길은 우리 노병의 주춧돌<br>그 앞에 있어야만 하니까."""
st_065020_0090#0,"""아무쪼록 우리가 만들어갈 미래를<br>지켜봐 주면 좋겠어."""
st_065020_0100#0,"""그것이 단 하나의 약속조차<br>제대로 지키지 못하는 허접한 남자의<br>마지막 소원이다."""
st_065020_0110#0,"""…그렇지 않아, 기 군."""
st_065020_0120#0,"""당신은 충분히 약속을 지켜줬어.<br>난 정말, 가슴이 벅차올라."""
st_065020_0130#0,"""모습이 보이지 않더라도 마음은 이어져있어<br>마지막 소원을 빌게 두진 않을거야. <br>당신을 홀로 남기지...않을테니까."""
