Begin#0,"""開始5008"""
Success#0,"""成功5008"""
Failure#0,"""失敗5008"""
Dead#0,"""自分死亡5008"""
BuddyDead#0,"""相手死亡5008"""
Evolution#0,"""発展5008"""
Begin#1,"""/mn1 /ci1 1 저기, 리사 씨.<br>살기에 이끌려 적들이<br>나타나고 있는데요……"""
Success#1,"""/mn19 /ci1 1 저기, 리사 씨.<br>분명 케이크 가게를 찾는 중이라고<br>하지 않으셨나요……"""
Failure#1,"""/mn2 /ci4 1 죄, 죄송해요.<br>물러나겠습니다！"""
Dead#1,"""/ci4 1 으으……케이크 가게를<br>찾으러 왔을 뿐인데<br>왜 이런 일이……"""
BuddyDead#1,"""/mn20 /ci2 1 저기, 리사 씨.<br>쉬는 것치고는 너무<br>너덜너덜하지 않나요？"""
Evolution#1,"""/ci1 1 저는 어서<br>케이크 가게가 나타났으면<br>좋겠는데요……"""
Begin#2,"""/ci1 1 아, 안녕하세요.<br>가만히 있을 수 없어서<br>리사 씨를 따라왔어요."""
Success#2,"""/ci2 1 그래요. 여기는 저희에게 맡기고<br>먼저 나아가 주세요！"""
Failure#2,"""리사 씨！<br>죄송해요. 돌아가겠습니다！<br>마토이 씨를 부탁드려요！"""
Dead#2,"""으으……더는 버티기 힘들어요……"""
BuddyDead#2,"""와와와, 리사 씨가<br>화났을지도 몰라요……"""
Begin#3,"""/ci1 1 저도 도울게요！<br>한꺼번에 해치워 버려요！"""
Success#3,"""/ci2 1 저희는 여기서 계속 적의 시선을 끌게요！<br>시바는 정말 버거운 상대지만<br>두 분이라면 분명 괜찮을 거예요！"""
Failure#3,"""/mn2 /ci4 1 리리파의 아이들을 위해서라도<br>더 힘냈어야 했는데……<br>분해요……"""
Dead#3,"""/ci4 1 죄송합니다……<br>더는 움직일 수 없어요……<br>물러나겠습니다……"""
BuddyDead#3,"""/ci1 4 멜란디아 씨……！<br>네, 맡겨 주세요！"""
