Title#0,"""First Trial"""
Summary#0,"""セントラルシティのリーダーである<br>クロフォードと出会った<br><%me>は、<br>エアリオタウンを壊滅させたのが、<br>“ダークファルス”というドールズだと知る。<br><br>ケガの癒えたアイナも加わり、<br>３人はアークスとしての戦い方を学び始める。"""
text0101#0,"""Head to the \""First Step\"" Cocoon"""
text0102#0,"""Enter to \""First Step\"" Cocoon"""
Objective331#0,"""Learn Wall Kick"""
Objective341#0,"""Clear the \""First Step\"" Cocoon"""
Objective351#0,"""Return to the field"""
Objective361#0,"""Return to the field"""
Objective371#0,"""Head to the Central Tower"""
Objective381#0,"""Talk to Crawford"""
Objective311#0,"""※※※※※"""
Objective321#0,"""※※※※※"""
