text01#0,"""…………"""
text02#0,"""……교섭은 옆에 있는 남자에게 맡기고 있다.<br>이 녀석에게서 얘기를 들어라."""
text01#1,"""……흠.<br>너를 보고 있으니 녀석이 떠오르는군.<br>같은 눈을 하고 있어서 그런가……"""
text02#1,"""녀석은 자신도 초심자인 주제에<br>짐덩이 같은 애쉬를 돕고 있었다……<br>크크큭……"""
text03#0,"""맛있어 질 가망성이 있다.<br>녀석의 영혼이 자랄 때 까지<br>나도 아직 죽을 순 없지……"""
text01#2,"""나는 파이오니아 1으로 선행했던<br>어느 남자를…… “먹이”를 따라<br>파이오니아 2에서 라골로 왔다."""
text02#2,"""하지만, 나의 도착을 기다리지 못하고<br>그 남자가는 시체가 되어……<br>나는 목적을 잃었다."""
text03#1,"""이제 여긴 아무 것도 없다……<br>그렇게 생각 했지만 녀석이<br>그리고 네가 나타났다.<br>크크큭……만족시켜 줄 것 같군……"""
text01#3,"""……무슨 일이지?<br>적에게 공격이 맞지 않는 건가?"""
text02#3,"""그렇군. 그럼……그렇군. 그럼……<br>내가 알고 있는 기본 기술을<br>가르쳐 주지. 조금 길어지는군……<br>발걸음을 멈추고 듣게."""
text03#2,"""힘을 모아 공격하는 헤비 어택은<br>위력이 높지만 빗겨나가기 쉽다.<br>게다가…… 뭣이, 공격이 반드시<br>들어맞는다고!?"""
text04#0,"""크크큭 바보같은 소리…… 이 세계는<br>공격이 빗겨나가는일이 없다고<br>말할 생각인가……?"""
text01#4,"""너, 라골로 올 생각 없냐?<br>녀석과 네가 모이면 반드시 맛있는<br>영혼의 잔치가 되겠지…… 크크큭."""
text02#4,"""……이곳을 지키고 싶다. 인가. 역시나.<br>그 의지, 삶을 관철함으로써 영혼이<br>보다 맛있게 자라게 될 것이다."""
text03#3,"""그 영혼을 언젠가 내가 잡아먹겠다.<br>그때까진 살아 있도록.<br>……서로 말일세."""
text04#1,"""……나는야 ＜검은 사냥개＞.<br>노린 타겟은 반드시 잡는다.<br>크핫……크하하하하!"""
