msc_023110_0010#0,"""อ้า <%me> อยู่นี่เอง"""
msc_023110_0020#0,"""ดูเหมือนวันนี้ไอน่าจะไม่ได้มาที่นี่นะ"""
msc_023110_0030#0,"""เรื่องของไอน่านี่มันยังไงเหรอครับ/คะ?"""
msc_023110_0040#0,"""ปกติไอน่ามาที่นี่เหรอครับ/คะ?"""
msc_023110_0050#0,"""เธอมาที่นี่แทบจะทุกวันเลยล่ะ"""
msc_023110_0060#0,"""ใช่แล้ว แทบจะทุกวันเลยล่ะ"""
msc_023110_0070#0,"""เพื่อขอให้ฉันสอน 'เคล็ดลับของการเป็นผู้นำ' ให้เธอน่ะ"""
msc_023110_0080#0,"""ก็ตกใจอยู่เหมือนกันนะที่จู่ๆ เธอก็มา<br>ขอให้ฉันสอนเรื่องแบบนั้นน่ะ"""
msc_023110_0090#0,"""แต่น่าเสียดายนะ... มันไม่ใช่เรื่องที่ฉัน<br>สามารถตอบได้ด้วยคำพูดของฉันเองหรอก"""
msc_023110_0100#0,"""สิ่งที่ฉันรู้เกี่ยวกับการเป็นผู้นำส่วนใหญ่<br>ก็เป็นฮาดิ (Hadi) ที่เป็นคนสอนฉันมาน่ะ"""
msc_023110_0110#0,"""ดังนั้น พอฉันเรียกเขามา<br>เธอก็ยิงคำถามใส่เขาไม่ยั้งเลยล่ะ"""
msc_023110_0120#0,"""ฮาดิ (Hadi) ที่เป็นครูมาแต่กำเนิดน่ะ<br>ก็ดีใจมากเลยนะที่ได้เห็นความมุ่งมั่นในการเรียนรู้ของไอน่า"""
msc_023110_0130#0,"""พวกเขาสองคนคุยกันยาวเลยล่ะ"""
msc_023110_0140#0,"""ฉันเชื่อว่าพวกเขาคงไปที่ไหนสักแห่งเพื่อเรียนรู้<br>เกี่ยวกับการใช้ภูมิประเทศให้เป็นประโยชน์ในการต่อสู้น่ะ"""
msc_023110_0150#0,"""ต้องขอบอกเลยนะว่า ความกระตือรือร้นของไอน่านี่มันส่งถึงกันได้จริงๆ"""
msc_023110_0160#0,"""ที่แท้เธอก็ทำแบบนี้นี่เอง"""
msc_023110_0170#0,"""เธอทุ่มเทสุดๆ ไปเลยสินะ"""
msc_023110_0180#0,"""เธอพูดเหมือนกับว่ายังไม่ได้ถามอะไรเธอเลยนะ"""
msc_023110_0190#0,"""นั่นสินะ ถึงแม้ว่าบางครั้งเธอดูเหมือนจะ<br>รีบร้อนไปบ้างก็เถอะ"""
msc_023110_0200#0,"""ดูเหมือนว่าพวกเราจะไม่ใช่คนกลุ่มเดียวที่เธอไปขอความคิดเห็นนะ"""
msc_023110_0210#0,"""เธอบอกว่าเธอถึงขั้นดั้นด้นไป<br>ถามไทวาส (Taivas) กับเกลน (Glen) ด้วยล่ะ"""
msc_023110_0220#0,"""ฉันไม่คิดเลยนะว่าเกลน (Glen) จะยอม<br>เปิดเผยวิธีการของเขาให้คนอื่นฟังง่ายๆ น่ะ..."""
msc_023110_0230#0,"""แต่ก็เซอร์ไพรส์ในทางที่ดีนะ ดูเหมือนว่า<br>เขาจะสอนเธอ แถมยังสอนให้อย่างใส่ใจซะด้วย"""
msc_023110_0240#0,"""บางทีเขาอาจจะใจดีกว่าที่เห็นภายนอกก็ได้นะ"""
msc_023110_0250#0,"""หรือบางทีอาจจะมีบางอย่าง<br>ในตัวไอน่าที่ทำให้เขายอมเปิดใจก็ได้ล่ะมั้ง"""
msc_023110_0260#0,"""...แล้ว ตกลงว่าไอน่าอยากจะเป็นผู้นำจริงๆ งั้นเหรอ?"""
msc_023110_0270#0,"""ตอนนี้ เธอแค่ฝึกทหารใหม่น่ะครับ/ค่ะ"""
msc_023110_0280#0,"""นั่นก็ขึ้นอยู่กับเธอแหละครับ/ค่ะ"""
msc_023110_0290#0,"""ตอนนี้งั้นเหรอ? งั้นเธอก็คิดว่าเธอ<br>ถูกลิขิตมาให้ไปได้ไกลกว่านี้สินะ?"""
msc_023110_0300#0,"""หึๆๆ... นั่นสินะ"""
msc_023110_0310#0,"""ฉันตั้งตารอที่จะได้เห็นการเติบโตของเธอในวันข้างหน้านะ"""
