msc_010160_5010#0,"""Уооох!"""
msc_010160_5020#0,"""Ура-а!"""
msc_010160_0010#0,"""Да что он..."""
msc_010160_0020#0,"""Аина, беги с ними в пещеру на севере!"""
msc_010160_0030#0,"""Что? Н-но..."""
msc_010160_0040#0,"""Мы будем обузой... это он имеет ввиду."""
msc_010160_0050#0,"""...Да."""
msc_010160_0060#0,"""Аина! Давай!"""
msc_010160_0070#0,"""Я-я... я же..."""
msc_010160_0080#0,"""Ааааа!"""
msc_010160_0090#0,"""Побежали!"""
msc_010160_0100#0,"""И ты тоже!"""
msc_010160_0110#0,"""Бегите!"""
