Title#0,"""来襲せし虚なる深遠の躯"""
Explanation#0,"""アークス各員に緊急連絡。<br>ダークファルス【巨躯】による<br>アークスシップへの襲撃が開始された。<br>また、侵食された旧マザーシップ内からも<br>強大なダーカー反応が確認されている。<br>事態は深刻だ。各員、準備が出来次第<br>【巨躯】の襲撃を速やかに阻止し<br>旧マザーシップに現れた敵を迎撃せよ。<br>――――――――――――――――――――<br>Fracaso: Fallar objetivo, Finaliza el tiempo limite"""
SimpleExplanation#0,"""Derrota ambas manifestaciones de Dark Falz!"""
Area0S#0,"""アークスシップ残骸"""
Area0L#0,"""アークスシップ残骸\u3000アークスシップ残骸・甲板エリア１"""
Area1S#0,"""侵食マザーシップ"""
Area1L#0,"""侵食マザーシップ マザーシップ内部エリア１"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Dificil."""
a4#0,"""Poseer la licencia para Super Dificil."""
NpcComMsg1#0,"""準備はできたようだな。<br>これから恐らくダークファルスの<br>連戦となることが予想される……"""
NpcComMsg2#0,"""まずは【巨躯】の正面へ転送する。<br>すみやかに撃退し、次に備えてくれ。<br>厳しい戦いとなるが……必ず生還しろ。"""
NpcComMsg1#1,"""【敗者】が姿を現したようです。<br>これからダークファルスの元に<br>転送を行います。"""
NpcComMsg2#1,"""【巨躯】との戦いで疲弊した皆さんを<br>私は……送り出すことしかできません。<br>……どうか、どうか無事に帰還を。"""
