a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area0S#0,"""Skies of Naberius"""
Area0L#0,"""Skies of Naberius: Shuttle"""
Area1S#0,"""The End of the World"""
Area1L#0,"""The End of the World"""
Title#0,"""T:Progeny of the Apocalypse"""
Explanation#0,"""Emergency call to all ARKS.<br>The [Profound Darkness] and Dark Falz<br>[Double] have appeared over Naberius.<br>[Double] is protecting the [Profound<br>Darkness], so we must engage it first.<br>Destroy all hostiles and end this threat.<br>――――――――――――――――――――<br>Failure: Fail objective, time limit expires"""
NpcComMsg1#0,"""You'll be transported to the front<br>soon. Your objective is to forge a<br>path to the [Profound Darkness]<br>by destroying Dark Falz [Double]."""
NpcComMsg2#0,"""This enemy Dark Falz...<br>We cannot begin to fathom the<br>depths of its power. Be careful,<br>and, please, come back to us<br>safe and sound..."""
NpcComMsg1#1,"""You've opened a path to the<br>[Profound Darkness]. All that<br>remains is for you to take<br>down this powerful foe."""
NpcComMsg2#1,"""We have no detailed orders or<br>instructions for you. Fight bravely,<br>and make it through this alive...<br>That's an order. That is an order!"""
Area1S#1,"""Point of Return"""
Area1L#1,"""Point of Return"""
SimpleExplanation#0,"""Defeat the [Profound Darkness]"""
