Title#0,"""T: Endless Darkness"""
Explanation#0,"""Emergency call to the Guardians.<br>Above the skies of Naberius, the<br>[Profound Darkness] and [Double]<br>have appeared. Use all of your power<br>that you have gathered so far and deal<br>with this threat alone. It's a dangerous<br>task, but we hope you can accomplish it.<br>―――――――――――――――<br>Failure Conditions: Player is Incapacitated<br>or time limit expires."""
SimpleExplanation#0,"""Defeat the [Profound Darkness]"""
Area0S#0,"""Skies of Naberius"""
Area0L#0,"""Skies of Naberius: Shuttle"""
Area1S#0,"""The End of the World"""
Area1L#0,"""The End of the World"""
Area1S#1,"""Point of Return"""
Area1L#1,"""Point of Return"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""You'll be transported to the front soon. Your objective is to forge a path to the [Profound Darkness] by destroying Dark Falz [Double]."""
NpcComMsg2#0,"""This enemy Dark Falz... we cannot begin to fathom the depths of its power. Be careful, and, please, come back to us safe and sound..."""
NpcComMsg1#1,"""You've opened a path to the [Profound Darkness]. All that remains is for you to take down this powerful foe."""
NpcComMsg2#1,"""We have no detailed orders or instructions for you. Fight bravely, and make it through this alive...<br>That's an order. That is an order!"""
