Title#0,"""Endless Darkness"""
Explanation#0,"""Emergency message for the Guardian.<br>The [Profound Darkness] and [Double] have<br>appeared In the skies over Naberius.<br>Use all the power that you have gathered<br>so far and deal with this threat alone.<br>It's a dangerous task, but we hope you can<br>accomplish it.<br>――――――――――――――――――――<br>Quest Clear Limit/$(0) time(s)<br>Failure: Fail objective, time limit expires"""
SimpleExplanation#0,"""Defeat the [Profound Darkness]"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Area0S#0,"""Skies of Naberius"""
Area0L#0,"""Skies of Naberius: Shuttle"""
Area1S#0,"""The End of the World"""
Area1L#0,"""The End of the World"""
Area1S#1,"""Point of Return"""
Area1L#1,"""Point of Return"""
NpcComMsg1#0,"""You'll be transported to the front<br>soon. Your objective is to forge a<br>path to the [Profound Darkness]<br>by destroying Dark Falz [Double]."""
NpcComMsg2#0,"""This enemy Dark Falz...<br>We cannot begin to fathom the<br>depths of its power. Be careful,<br>and, please, come back to us<br>safe and sound..."""
NpcComMsg1#1,"""You've opened a path to the<br>[Profound Darkness]. All that<br>remains is for you to take<br>down this powerful foe."""
NpcComMsg2#1,"""We have no detailed orders or<br>instructions for you. Fight bravely,<br>and make it through this alive...<br>That's an order. That is an order!"""
