Title#0,"""초콜릿의 행방 2020"""
Explanation#0,"""행성 암두스키아 화산동굴의<br>발렌타인 행사장 부근에서<br>용족이 날뛴다는 보고가 들어왔다.<br>또한 다커와 환창종 등의<br>출현도 확인되고 있다.<br>각 아크스는 즉시 현지로 향해<br>에너미를 제거하고 안전을 확보하라.<br>――――――――――――――――――――<br>클리어 가능 횟수/$(0)회<br>실패 조건/제한 시간 경과"""
NpcComMsg1#0,"""곧 전송을 시작합니다!<br>이번 임무는 발렌타인 행사장 주변에서<br>날뛰는 에너미를 격파하는 것입니다!"""
NpcComMsg2#0,"""용족뿐 아니라 다커와<br>강력한 환창종도 확인되고 있습니다.<br>충분히 조심해 주세요!"""
NpcComMsg3#0,"""어여쁜 여성들과 힘을 합쳐<br>행사장의 안전을 확보해 주세요!<br>초콜릿의 행방은 당신에게 달렸습니다!"""
SimpleExplanation#0,"""최심부를 향하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
a5#0,"""슈퍼 하드 수주 허가증 소지"""
