a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:The Chocolate Way 2020"""
Explanation#0,"""We've received reports of rampaging<br>Dragonkin near the Valentine's Day venue<br>in the Volcanic Caves of Amduscia.<br>Other enemies are also present, including<br>Darkers and Phantoms.<br>All ARKS are to dispatch and eliminate<br>these enemies to protect the venue.<br>――――――――――――――――――――<br>Can clear 3 times.<br>Failure: Fail objective, time limit expires."""
NpcComMsg1#0,"""Now preparing to transfer you!<br>Your objective is to subdue the rampaging enemies near the Valentine's Day venue!"""
NpcComMsg2#0,"""In addition to Dragonkin, we've detected powerful Darker and Phantom readings!<br>Please be careful!"""
NpcComMsg3#0,"""Work together with our beautiful girls to secure the venue!<br>The Chocolate Way is in your hands!"""
SimpleExplanation#0,"""Head to the final area!"""
