un_062120_0010#0,"""Oho, <%me>. ¿Trajiste a Xiao a casa? Buen trabajo."""
un_062120_0020#0,"""Y gracias al anciano Dragonkin, su fuerza de cálculo es aún mayor que antes."""
un_062120_0030#0,"""Ahora podemos poner al menos algún tipo de lucha contra los Photoners."""
un_062120_0040#0,"""Pero incluso si podemos igualarlos en la guerra de inteligencia, todavía estamos en contra de una fuerza como Shiva."""
un_062120_0050#0,"""De qué lado estás... Bueno, incluso por lo que escuché de ella, suena inalcansable."""
un_062120_0060#0,"""Y ella también tiene esos seguidores... Me pregunto cuál es su trato."""
un_062120_0070#0,"""Oh, si... Esos tipos."""
un_062120_0080#0,"""Hm? Aurora, ¿Sabes algo?"""
un_062120_0090#0,"""... un poco. Esos dos parecen ser víctimas de los Photoners."""
un_062120_0100#0,"""¿Victimas...?"""
un_062120_0110#0,"""Sí, al principio solo había uno. El último recipiente, diseñado con el propósito de contener Photons."""
un_062120_0120#0,"""Ese recipiente contenía el conocimiento de todo. Para ayudar a esa nave... se crearon dos dioses."""
un_062120_0130#0,"""Eran... Mitra, Diosa de la Imitación, y Varuna, Dios de la Fidelidad."""
un_062120_0140#0,"""Varuna... es..."""
un_062120_0150#0,"""¡Eso es! Ahora recuerdo... Cuando fuimos convocados a Omega, ¡Ese tipo Varuna estaba allí!"""
un_062120_0160#0,"""Tú también estabas allí... ¿No lo reconociste?"""
un_062120_0170#0,"""Estaba un poco preocupada entonces, y no memorizo la cara de cada chico."""
un_062120_0180#0,"""Pero, probablemente me reconoció. A pesar de que estaba en una forma diferente."""
un_062120_0190#0,"""Ahora que lo mencionas, él no estaba allí cuando nos fuimos a la capital desde la fortaleza del sur."""
un_062120_0200#0,"""Parecía del tipo que nunca dejaría el lado de esa princesa, pero dijo que tenía negocios en otro lado y se fue. Debe haber sido porque estabas allí."""
un_062120_0205#0,"""Volviendo al tema, esos tres fueron creados al mismo tiempo que el clon final del Registro Akáshico fue ... Cuando nació [Profound Darkness] """
un_062120_0210#0,"""Como último esfuerzo, el conocimiento se eliminó de ese recipiente final, y se convirtió en [Profound Darkness]."""
un_062120_0220#0,"""Esos asistentes, Mitra y Varuna, estaban muy cerca de ella, y todos fueron lanzados al hiperespacio juntos."""
un_062120_0230#0,"""...Los Photoners los crearon por capricho, y los descartaron de la misma manera... Eso también los convierte en víctimas."""
un_062120_0240#0,"""Pero... No somos los Photoners. No tienen porque  pelea con nosotros."""
un_062120_0250#0,"""Sí. Aunque entiendo de dónde vienen, no voy a simpatizar con su causa."""
un_062120_0260#0,"""¡Entonces <%me>! ¡Depende de ti derrotarlos a toda velocidad!"""
