st_062080_0210#0,"""はあっ！"""
st_062080_0220#0,"""ぐ……うううっ……！"""
st_062080_0230#0,"""〔¡¿Estás bien?!〕"""
st_062080_0240#0,"""¡Por qué tú!"""
st_062080_0250#0,"""Haaa... ¡Haaa!... Esta es nuestra última esperanza... ¡No dejaré que nos la quites!"""
st_062080_0260#0,"""はあああっ！"""
st_062080_0265#0,"""……っ！？\u3000ぐっ……！"""
st_062080_0270#0,"""¡Muévete del camino!"""
st_062080_0275#0,"""はっ……！\u3000はっ……！"""
st_062080_0280#0,"""っ……！"""
st_062080_0285#0,"""ダメぇぇぇっ！"""
st_062080_0290#0,"""Ah... Ahhhh... ¡No puede!..."""
st_062080_0300#0,"""〔Ahora nosotros...〕"""
st_062080_0310#0,"""Lo siento, lo siento mucho!... ¡No podia... Protegerlo!..."""
st_062080_0320#0,"""Luché tan duro... Tan fuerte como pude... Estábamos tan cerca... Pero fracasé."""
st_062080_0330#0,"""¡Quería salvar a Xiao!... Pero yo... ¡Yo!..."""
st_062080_0340#0,"""¡Aún no ha terminado!"""
st_062080_0350#0,"""¡Xiao todavía está vivo!"""
st_062080_0360#0,"""Xiao todavía está... dentro de mí..."""
st_062080_0370#0,"""¡Tienes razón, él todavía está aquí en mi corazón!"""
st_062080_0380#0,"""Lo que significa que la esencia de toda la creación... ¡Está en mi corazón!"""
