st_062080_0390#0,"""……シャオ。"""
st_062080_0400#0,"""シャオ。"""
st_062080_0410#0,"""シャオ！"""
st_062080_0420#0,"""¡Xiao!, ¡Despierta, Xiao!, ¡Todos te están esperando!"""
st_062080_0430#0,"""¡No podemos seguir sin ti!, ¡No me importa lo que me pase, no me importa si destruyes mi cuerpo!..."""
st_062080_0440#0,"""¡Solo abre tus ojos!"""
st_062080_0450#0,"""...Lo siento, no quise decir eso. No hay forma de que quieras escuchar eso."""
st_062080_0460#0,"""No quiero morir No quiero perder mi cuerpo."""
st_062080_0470#0,"""Más que nada, quiero estar contigo. Porque lo prometimos..."""
st_062080_0480#0,"""...No. Eso también está mal. Esa es otra mentira. No quiero estar contigo solo porque lo prometimos..."""
st_062080_0490#0,"""...No sé cómo poner algo como esto en palabras. No sé cómo comunicarte esto."""
st_062080_0500#0,"""Pero quiero estar contigo. Quiero reír junto a ti, enojarme, pelear... Quiero ver y hacer todo tipo de cosas contigo..."""
st_062080_0510#0,"""Quiero caminar junto a ti."""
st_062080_0520#0,"""Xiao, quiero estar contigo. No como un solo ser, sino como nuestras propias existencias separadas."""
st_062080_0530#0,"""Como iguales, como personas."""
st_062080_0540#0,"""Entonces... Por favor Xiao... Por favor, te lo ruego..."""
st_062080_0550#0,"""¡Vuelve!..."""
