st_062040_0001#0,"""A.P.242/2/26/10:00"""
st_062040_0010#0,"""Oush..."""
st_062040_0020#0,"""..Sara, ¿Por qué no descansas en la nave mientras vamos?"""
st_062040_0030#0,"""No tiene sentido si un Familiar de Xiao ni siquiera pueden hacerlo por ella misma."""
st_062040_0040#0,"""¿No es como el diría, ahora es el momento de no ser razonable?"""
st_062040_0050#0,"""もう。"""
st_062040_0060#0,"""...He estado esperando."""
st_062040_0070#0,"""¿Eh, Quna? ¿Por qué estás aquí?"""
st_062040_0080#0,"""Los Dragonkin son ... ¿Cómo debo decir esto? Hay muchos que carecen de moderación."""
st_062040_0090#0,"""¿Qué quieres decir con eso...?"""
st_062040_0100#0,"""[Mucho tiempo!]<br>[ARKS!]"""
st_062040_0110#0,"""No se alarme. Solo esta saludando. Esto es lo que quise decir con falta de moderación."""
st_062040_0120#0,"""Tengo alguna afiliación con los Dragonkin, así que esperaba poder actuar como tu guía."""
st_062040_0130#0,"""Además, no sabemos cuándo puede atacar el enemigo. No estaría de más reforzar nuestras capacidades de lucha."""
st_062040_0140#0,"""Eres la misma de siempre, Rela. ¿Sabías que vendríamos?"""
st_062040_0150#0,"""[Lord Kamits]  [habló], <br> [dijo] [todos vendrían]"""
st_062040_0160#0,"""[Dragon oracle] [Rela of Ko]<br>[vino a saludar miembros ARKS.]"""
st_062040_0170#0,"""[Llevare] [todos] <br> [para reunirse con] [Lord Kamits.]"""
