msc_027040_0010#0,"""Alright, I'm here."""
msc_027040_0020#0,"""Wait, where's Faria?"""
msc_027040_0030#0,"""She's over there."""
msc_027040_0040#0,"""Faria!"""
msc_027040_0050#0,"""...Look at you! What's all this?"""
msc_027040_0060#0,"""Crawford had it prepared for me, in case I need to go into battle."""
msc_027040_0070#0,"""You don't say? Huh..."""
msc_027040_0080#0,"""It looks good on you."""
msc_027040_0090#0,"""You're looking sharp."""
msc_027040_0100#0,"""Thank you very much."""
msc_027040_0110#0,"""D-Do you think so?"""
msc_027040_0120#0,"""By the way... Um..."""
msc_027040_0130#0,"""When Zephetto was manipulating you like that, what did it feel like?"""
msc_027040_0140#0,"""Rather than feeling \""manipulated\"",<br>it felt like my mind had been separated from my body."""
msc_027040_0150#0,"""As if I was looking at another \""me\"", so to speak..."""
msc_027040_0160#0,"""Manon, what is it?"""
msc_027040_0170#0,"""Why Faria, though?"""
msc_027040_0180#0,"""Huh?"""
msc_027040_0190#0,"""ゼフェットが、<br>メッセージの伝達役に選んだ相手のことよ。"""
msc_027040_0200#0,"""それは、私がゼフェットの<br>バックアップだからです。"""
msc_027040_0210#0,"""バックアップ？<br>だって、あなたは……。"""
msc_027040_0220#0,"""はい。<br>マノンのバックアップです。"""
msc_027040_0230#0,"""そして、同時にゼフェットの<br>バックアップでもあったようです。"""
msc_027040_0240#0,"""どうして、そう言いきれるの？"""
msc_027040_0250#0,"""ゼフェットの意識が流入してくるときに、<br>そうした情報が同時に流れ込んできました。"""
msc_027040_0260#0,"""自分の身になにかあったときのために、<br>あらかじめ準備をしていた……ということなのね。"""
msc_027040_0270#0,"""ファリア、本当になんともない？"""
msc_027040_0280#0,"""ファリア、なにかあったらすぐ言ってよ？"""
msc_027040_0290#0,"""は、はい……大丈夫です。"""
msc_027040_0300#0,"""は、はい……。"""
msc_027040_0310#0,"""ええと……その……。"""
msc_027040_0320#0,"""ありがとうございます。<br>……心配してくれて。"""
