name_7619#0,"""라스키나"""
ssn_005020_0001#0,"""앗, 새로 온 아크스지?<br>잘 부탁해!"""
ssn_005020_0002#0,"""여기 늘어선 건 전부 아크스에게<br>빠질 수 없는 샵들이니까, 한 번 둘러보면 좋을 거야."""
ssn_005020_0101#0,"""코쿤에서 경험을 쌓고 온 것 같네.<br>그렇다면 특수한 스킬을 배워도 될 때야."""
ssn_005020_0051#0,"""그 특수한 스킬에 대해 알려 줄까?"""
ssn_005020_0052#0,"""좋아, 그럼 얘기해 줄게."""
ssn_005020_0102#0,"""아크스는,<br>클래스마다 고유한 스킬을 습득할 수 있어."""
ssn_005020_0103#0,"""우리는 이 스킬을,<br>\""클래스 스킬\""이라고 부르고 있어."""
ssn_005020_0104#0,"""클래스 스킬은 시티의 클래스 카운터에서<br>배울 수 있어."""
ssn_005020_0105#0,"""너는 \""헌터\""니까, 글쎄…….<br>\""매시브 헌터\""와 \""패링 PA\""를 추천하려나."""
ssn_005020_0106#0,"""너는 \""파이터\""니까, 글쎄…….<br>\""리미트 브레이크\""와 \""리미트 브레이크 포톤 차지\""를 추천하려나."""
ssn_005020_0107#0,"""너는 \""레인저\""니까, 글쎄…….<br>\""위크 불릿\""과 \""디퓨즈 셸\""을 추천하려나."""
ssn_005020_0108#0,"""너는 \""거너\""니까, 글쎄…….<br>\""체인 트리거\""와 \""체인 부스트\""를 추천하려나."""
ssn_005020_0109#0,"""너는 \""포스\""니까, 글쎄…….<br>\""포톤 플레어\""와 \""PP 컨버트\""를 추천하려나."""
ssn_005020_0110#0,"""너는 \""텍터\""니까, 글쎄…….<br>\""시프타 데반드\""와 \""완드 엘리먼트 체인지\""를 추천하려나."""
ssn_005020_0111#0,"""바로 가 봐."""
ssn_005020_0201#0,"""클래스 스킬을 습득한 것 같네.<br>내가 추천한 걸 제대로 골라 줬어?"""
ssn_005020_0202#0,"""확실히 능숙하게 쓸 수 있게 돼야 해.<br>기대하고 있을게. 힘내!"""
ssn_005020_0301#0,"""그래, 그럼 다음에 또 보자."""
