name_7625#0,"""에딕"""
ssn_014690_0001#0,"""여어, 밥은 먹고 다니냐?"""
ssn_014690_0002#0,"""그러고보니 가르쳐 줄 만한 게<br>하나 더 생각났거든."""
ssn_014690_0003#0,"""듣고 갈래?"""
ssn_014690_0101#0,"""동료를 찾는 녀석이 가끔 보이곤 하지?<br>그럴 때 말을 걸어 봐."""
ssn_014690_0102#0,"""“함께 싸우자!”\u3000<br>……같은 식으로."""
ssn_014690_0103#0,"""부끄러워하지 말고.<br>부담 갖지 말고 이것저것 해 보면 돼!"""
ssn_014690_0201#0,"""허어, 관심 없구나…….<br>뭐 그래, 언제든지 와."""
ssn_014690_0301#0,"""그래, 기운 넘치는데!"""
ssn_014690_0302#0,"""그런 식으로 점점 동료들을 늘려나가면 돼.<br>다음엔 나랑 뛰어 볼래?\u3000같이 말이야."""
ssn_014690_0401#0,"""점점 동료들을 늘려나가면 돼.<br>다음엔 나랑 뛰어 볼래?\u3000같이 말이야."""
ssn_014690_0402#0,"""……아, 그렇지.<br>다른 사람들이랑 함께 싸운다면 \""팀\""을 만드는 것도 방법이야."""
ssn_014690_0403#0,"""팀이라는 녀석한테 한 번 가 봐.<br>팀 활동 지원관으로 일하는 녀석이야."""
ssn_014690_0404#0,"""어, 예전에 얘기했다고?<br>아이쿠, 그랬었나?"""
ssn_014690_0405#0,"""그럼 됐어, 신경 쓰지 마.<br>시간 나면 팀한테 한 번 가 봐."""
