name_7198#0,"""홀로맨"""
ssn_005160_0001#0,"""오, 잘 왔어.<br>나는 텍터 교관 홀로맨이야."""
ssn_005160_0002#0,"""텍터에 대해 배워 볼래?"""
ssn_005160_0101#0,"""오, 잘 왔어. 나는 홀로맨.<br>법격 클래스 교관의 보좌역을 맡고 있어."""
ssn_005160_0102#0,"""구이덴 씨에게 이야기는 들었어.<br>호냥 씨 대신 내가 텍터에 대해 알려 줄게."""
ssn_005160_0151#0,"""응? 아무래도 텍터는 아닌 것 같네."""
ssn_005160_0152#0,"""우선 \""클래스 카운터\""에서 텍터가 되어 와 줄래?"""
ssn_005160_0153#0,"""그리고 텍터의 클래스 스킬을 습득하는 것도 잊지 말고."""
ssn_005160_0301#0,"""오, 괜찮겠어?<br>배우고 싶어지면 다시 와."""
ssn_005160_0103#0,"""텍터는 아군 지원에 뛰어난 클래스야."""
ssn_005160_0104#0,"""클래스 스킬도,<br>아군의 공격력이나 방어력을 올려 주는 게 많아."""
ssn_005160_0105#0,"""싸우면서 보조를 해 주면,<br>동료에게 크게 기여할 수 있는 클래스라고 할 수 있겠지."""
ssn_005160_0106#0,"""응? 추천하는 클래스 스킬이 뭐냐고?"""
ssn_005160_0107#0,"""음…… 그렇네.<br>역시 \""시프타/데반드\""일까."""
ssn_005160_0108#0,"""뭐, 잘 써서 적을 쓰러뜨려 봐."""
ssn_005160_0109#0,"""과제를 낼 테니 해 보도록 하자.<br>하지만 초조해하지 않아도 돼. 천천히 확실하게, 알겠지."""
ssn_005160_0201#0,"""잘 싸운 것 같네.<br>꽤 소질이 있다고 생각해."""
ssn_005160_0202#0,"""뭐, 처음엔 익숙하지 않은 것도 있겠지만,<br>여러 가지를 익히고 기술을 갈고닦아 가 줘."""
