name_7418#0,"""베르크만"""
ssn_013090_0001#0,"""오. 너구나.<br>몸은 좀 어때?"""
ssn_013090_0002#0,"""전에 준 데이터는<br>소중히 보관하고 있어."""
ssn_013090_0101#0,"""안녕.<br>지금 시간 좀 괜찮아?"""
ssn_013090_0102#0,"""또 부탁하고 싶은 일이 있어서 말이지."""
ssn_013090_0201#0,"""그렇군…<br>시간 있으면 얘기해 줘."""
ssn_013090_0301#0,"""산도 보고 바다도 봤으니,<br>다음은 뭐가 좋을까 생각해 봤는데,"""
ssn_013090_0302#0,"""그러고 보니, 가까운 데 습원이 있었지 싶더라고."""
ssn_013090_0303#0,"""분위기는 평화롭지만 막상 싸우면 물에 흠뻑 젖어서,<br>솔직히 썩 좋은 추억은 없는 곳이지만…"""
ssn_013090_0304#0,"""오랫동안 안 가고 지냈더니<br>괜히 그립기도 하더라고."""
ssn_013090_0305#0,"""예전처럼 데이터를 보내 줄 수 있을까?"""
ssn_013090_0306#0,"""시간 될 때 해주면 돼.<br>부탁할게."""
