name_7418#0,"""베르크만"""
ssn_012100_0001#0,"""오. 너구나.<br>몸은 좀 어때?"""
ssn_012100_0002#0,"""요전에 준 데이터는<br>소중하게 보관 중이야."""
ssn_012100_0101#0,"""안녕.<br>지금 한가한가?"""
ssn_012100_0102#0,"""또 부탁을 좀 들어줬으면 해서 말이지."""
ssn_012100_0050#0,"""실은, 예전에 산의 데이터를 받았잖아?"""
ssn_012100_0060#0,"""요즘 그걸 보노라면,<br>옛날 생각이 새록새록 나다 보니까…."""
ssn_012100_0070#0,"""바다의 경치도 좀 보고 싶어져서 말이야."""
ssn_012100_0080#0,"""싸우는 것 말고, 동료들이랑 헤엄도 치고,<br>모래로 센트럴 시티도 만들어 보고… 그런 거."""
ssn_012100_0090#0,"""혹시 당신만 좋다면<br>내가 지정해준 곳의 데이터를 보내주지 않을래?"""
ssn_012100_0100#0,"""겸사겸사여도 괜찮으니까,<br>부탁할게."""
ssn_012100_0201#0,"""그렇군…<br>시간 있으면 얘기해 줘."""
