name_7418#0,"""베르크만"""
ssn_011100_001_0010#0,"""이 센트럴 시티 참 좋은 곳이지?"""
ssn_011100_001_0020#0,"""날씨가 맑을 때 방벽 위에 올라가 봐.<br>멋진 경치를 볼 수 있어."""
ssn_011100_001_0030#0,"""그나저나 지금 시간 있어?<br>좀 부탁하고 싶은 게 있거든."""
ssn_011100_001_0035#0,"""그럼 들어주겠나."""
ssn_011100_001_0040#0,"""에아리오에는 산이 엄청 많잖아?<br>옛날에는 자주 오르곤 했었는데."""
ssn_011100_001_0050#0,"""나도 원래는 최전선 아크스로서 돌즈와 싸웠는데<br>부상이나 다른 것들이 겹치는 바람에…"""
ssn_011100_001_0060#0,"""지금은 시티 내에서 일하고 있어."""
ssn_011100_001_0070#0,"""매일 바쁘게 지내고 있기도 하고,<br>그래서 밖에 나갈 기회가 없었는데."""
ssn_011100_001_0080#0,"""문득 이런 생각이 들었어.<br>옛날에 다녀왔던 곳에 또 한 번 가고 싶다고."""
ssn_011100_001_0090#0,"""넌 여러 군데 돌아다니잖아?<br>괜찮으면 산에 올라가서 거기 경치를 데이터로 보내줄 수 있을까?"""
ssn_011100_001_0100#0,"""뭐, 급하게 하진 않아도 되니까.<br>부탁할게."""
ssn_011100_001_0110#0,"""그래… 할 일이 많나 보구만.<br>그럼 나중에 다시 부탁할게."""
