name_7663#0,"""샤르키"""
ssn_011141_0001#0,"""…그래. 설명하지."""
ssn_011141_0101#0,"""…라고 말하고 보니,<br>클래스가 레인저가 아닌 모양이군."""
ssn_011141_0102#0,"""…싸움법을 배우고 싶다면 \""클래스 카운터\""에서<br>클래스를 레인저로 변경하고 와라."""
ssn_011141_0103#0,"""…레인저의 “클래스 스킬”도<br>배우고 오도록."""
ssn_011141_0104#0,"""…그래도 레인저에 관해서<br>설명은 해 두지."""
ssn_011141_0201#0,"""…레인저는 원거리에서의 사격이 특기인 클래스다."""
ssn_011141_0202#0,"""…에너미와 거리를 두는 만큼 안전하게 싸울 수 있지."""
ssn_011141_0203#0,"""…그리고 중요한 건 클래스 스킬이다."""
ssn_011141_0204#0,"""그 중에서도 먼저 연습해야 하는 건 \""위크 불릿\""<br>…강한 적과 싸울 때 효과적이지."""
ssn_011141_0205#0,"""…실전으로 시험해 봐라. 훈련 과제를 내주지."""
