name_7664#0,"""호냥"""
ssn_011161_0010#0,"""후후후, 좋은 마음가짐이야."""
ssn_011161_0020#0,"""… 가만, 당신 클래스가 포스가 아닌데?"""
ssn_011161_0030#0,"""싸우는 법을 배우고 싶다면, \""클래스 카운터\""에서<br>클래스를 포스로 변경한 뒤에 와."""
ssn_011161_0040#0,"""그리고, 포스의 \""클래스 스킬\""도<br>제대로 배우도록 하고."""
ssn_011161_0050#0,"""그래도 일단, 설명은 먼저 해둘게."""
ssn_011161_0060#0,"""포스는 원거리에서 테크닉 공격을 특기로 하는 클래스야."""
ssn_011161_0070#0,"""에너미의 \""약점속성\""을 공격하는 게<br>음, 기본적인 싸움법이고."""
ssn_011161_0080#0,"""클래스 스킬은, 몸 속의 포톤 저장량을 끌어올리거나,<br>소비한 포톤의 회복속도를 늘리는 게 많아."""
ssn_011161_0090#0,"""그럼… 초심자는 일단<br>\""포톤 플레어\""를 몸에 익혀야지."""
ssn_011161_0100#0,"""훈련 과제를 내 줄게. 해 보도록 해."""
