ssc_511020_0010#0,"""…어라? 오셨군요."""
ssc_511020_0020#0,"""맞아요.<br>마침 좋은 기회니, 말씀 좀 들려주세요."""
ssc_511020_0030#0,"""…이 광경을 처음 봤을 때<br>어떤 생각이 드셨습니까?"""
ssc_511020_0040#0,"""깜짝 놀랐어."""
ssc_511020_0050#0,"""전에도 본 적이 있어."""
ssc_511020_0060#0,"""네, 그렇겠지요.<br>저도 마찬가지였습니다."""
ssc_511020_0070#0,"""그렇군요. 아마<br>리템의 마크아드를 말씀하시는 거겠지요."""
ssc_511020_0080#0,"""이곳을 처음 발견한 건<br>그렌 대장이 이끄는 정찰대였습니다."""
ssc_511020_0090#0,"""그 중에는 저도 있었습니다."""
ssc_511020_0100#0,"""돌즈는 하늘에서 온 것이 아니다.<br>할파의 어딘가에서 만들어지고 있다."""
ssc_511020_0110#0,"""히바나가 남긴 말입니다…"""
ssc_511020_0120#0,"""그게 설마 이런 형태로<br>이렇게 눈앞에 나타날 줄이야."""
ssc_511020_0130#0,"""대장은 이곳 제압이<br>가장 시급하다고 보고 스티아 선발대를 편성했습니다."""
ssc_511020_0140#0,"""…그런데 이곳에 오기 전에<br>크로포드 군은 뭐라고 하던가요?"""
ssc_511020_0150#0,"""크로포드에게서 들은 게 없어."""
ssc_511020_0160#0,"""그렌과의 통화에서 우연히 알게 됐어."""
ssc_511020_0170#0,"""그렇군요…"""
ssc_511020_0180#0,"""이것저것 말로 듣는 것보다<br>직접 보는 편이 빠르다고 생각했을지도 모르겠네요."""
ssc_511020_0190#0,"""그, 그랬군요."""
ssc_511020_0200#0,"""그때는 갑작스러운 연락에<br>저도 깜짝 놀랐습니다."""
ssc_511020_0210#0,"""다시 본론으로 돌아가서, 이곳 조사에 관해서는<br>안타깝게도 아직 거의 손도 대지 못한 상태입니다."""
ssc_511020_0220#0,"""현재 알 수 있는 건<br>이곳이 에너지 플랜트라는 것."""
ssc_511020_0230#0,"""그 플랜트의 핵심 시스템과<br>돌즈 생산 라인이 연동되어 있다는 것."""
ssc_511020_0240#0,"""플랜트의 에너지가<br>할파 전역에 공급되고 있다는 것."""
ssc_511020_0250#0,"""섣불리 생산 라인을 파괴하면<br>시스템에 영향이 갈 수 있다는 것."""
ssc_511020_0260#0,"""…그 정도입니다."""
ssc_511020_0270#0,"""앞으로 조금씩 조사를 진행하며<br>시스템 구조를 분석하고…"""
ssc_511020_0280#0,"""생산 라인을 순차적으로 정지시킬 예정입니다."""
ssc_511020_0290#0,"""그게 저희의 계획입니다."""
ssc_511020_0300#0,"""에아리오에서 추가로 파견된 기술자들도 합류해<br>드디어 본격적인 조사를 시작할 수 있을 것 같습니다."""
ssc_511020_0310#0,"""…처음에는 보이는 것만<br>전부 파괴하면 끝날 줄 알았습니다만."""
ssc_511020_0320#0,"""그렇게 쉽게 해결되지는 않을 것 같습니다."""
ssc_511020_0330#0,"""그래서 이곳을 포함해 스티아를<br>완전히 제압하는 데는 시간이 조금 더 걸릴 듯합니다."""
ssc_511020_0340#0,"""임무를 완수할 때까지, 계속해서 저희 활동을<br>지원해 주시면 감사하겠습니다."""
ssc_511020_0350#0,"""잘 부탁드리겠습니다."""
