name_7664#0,"""호냥"""
ssn_005150_0001#0,"""당신, 못 보던 얼굴이네.<br>응? 아크스로서의 기초를 배우고 있다고?"""
ssn_005150_0002#0,"""그럼 이것저것 좀 더 익힌 뒤에,<br>다시 여기로 오면 돼."""
ssn_005150_0101#0,"""왔구나.<br>나는 포스 교관 호냥이야."""
ssn_005150_0102#0,"""구이덴에게 이야기는 들었어.<br>내가 직접 포스에 대해 지도해 줄게."""
ssn_005150_0151#0,"""어머, 포스는 아니구나."""
ssn_005150_0152#0,"""그렇다면 \""클래스 카운터\""에서<br>클래스를 포스로 바꾸고 와 줄래?"""
ssn_005150_0153#0,"""그때 포스의 클래스 스킬도 같이 습득해 두도록 해."""
ssn_005150_0301#0,"""어머 그래? 사양할 필요 없는데.<br>마음이 바뀌면 다시 오면 돼."""
ssn_005150_0103#0,"""포스는 원거리에서 테크닉 공격을 특기로 하는 클래스야."""
ssn_005150_0104#0,"""에너미의 \""약점 속성\""으로 공격한다는 게,<br>뭐, 기본적인 전투법이지."""
ssn_005150_0105#0,"""클래스 스킬은 몸 속의 포톤 저장량을 끌어올리거나,<br>소비한 포톤의 회복을 빠르게 하는 게 많아."""
ssn_005150_0106#0,"""그중에서도 내 강력 추천은 \""포톤 플레어\""야!"""
ssn_005150_0107#0,"""잘 활용해서 적을 쓰러뜨리면 돼.<br>훈련 과제를 내 줄 테니, 한번 해 보렴."""
ssn_005150_0201#0,"""제대로 싸운 것 같네."""
ssn_005150_0202#0,"""이번 훈련으로 클래스 스킬이 얼마나 중요한지도 알았겠지.<br>여러 가지 익히고 익숙해지도록 해."""
ssn_005150_0203#0,"""그럼, 힘내는 거야."""
