name_7418#0,"""베르크만"""
ssn_014160_0001#0,"""오. 너구나.<br>몸은 좀 어때?"""
ssn_014160_0002#0,"""지금까지 받은 데이터도<br>잘 간직하고 있어."""
ssn_014160_0101#0,"""오.<br>지금 시간 좀 괜찮아?"""
ssn_014160_0102#0,"""또 부탁하고 싶은 일이 있어서 말이지."""
ssn_014160_0103#0,"""매번 미안하구만!<br>그럼 들어 주겠나."""
ssn_014160_0104#0,"""네가 준 데이터는<br>아무리 들여다봐도 질리질 않아."""
ssn_014160_0105#0,"""이것저것 늘어날수록 즐겁더라.<br>매일의 낙이 돼."""
ssn_014160_0106#0,"""그래서 이번엔 숲 풍경이 보고 싶어져서.<br>에아리오에서 숲 하면 레졸의 숲이지."""
ssn_014160_0107#0,"""저기는 좀 위험한 곳이지만<br>너라면 할 수 있을 거라 믿어."""
ssn_014160_0108#0,"""별로 급하진 않아.<br>시간 날 때 해주면 돼."""
ssn_014160_0109#0,"""부탁할게."""
ssn_014160_0201#0,"""그렇군…<br>시간 있으면 얘기해 줘."""
