name_7695#0,"""츠카노"""
ssn_014540_0001#0,"""역시 나데레프 님께서 눈여겨보신 사람답군."""
ssn_014540_0002#0,"""너처럼 강인한 아크스가 전투에 가세해 준다면 더할 나위 없지.<br>앞으로도 함께 돌즈와 싸워 줘."""
ssn_014540_0101#0,"""좋을 때에 왔구나."""
ssn_014540_0102#0,"""돔에 남은 돌즈 잔당들이 아무래도 신경 쓰여서.<br>조사를 하고 있는데…"""
ssn_014540_0103#0,"""요즘 마크아드 내에 돌즈의<br>움직임이 활발해지고 있다는 보고가 있어서."""
ssn_014540_0104#0,"""레누스 리템을 격퇴했다고 해도<br>아크스에게 돌즈가 위협적이라는 건 변함 없지."""
ssn_014540_0105#0,"""재앙의 싹은 일찌감치 잘라 두고 싶어."""
ssn_014540_0106#0,"""레누스 리템과 싸웠을 때처럼, 한 번 더 힘을 빌려주겠나?"""
ssn_014540_0201#0,"""그럼, 마크아드 내부에 남아 있는 돌즈 토벌 임무에 참여해 줘."""
ssn_014540_0202#0,"""물론 리템의 아크스들에게도 함께해 달라고 할 생각이지만,<br>네가 도와준다면 이보다 든든할 수는 없지."""
ssn_014540_0203#0,"""잘 부탁하네."""
ssn_014540_0301#0,"""그렇군. 너에게만 기대는 것도 말이 안 되니까."""
ssn_014540_0302#0,"""리템의 아크스만으로 대처하겠지만,<br>손이 비면 도와 줘."""
ssn_014540_0401#0,"""언제나 그렇지만, 네 활약은 볼 때마다 놀랍군."""
ssn_014540_0402#0,"""나도 그렇지만, 리템의 아크스도 지고만 있을 수는 없지!<br>앞으로도 서로 절차탁마하며 돌즈를 쓰러뜨리자!"""
