name_7710#0,"""루스란"""
ssn_014470_0001#0,"""혹시,<br>에아리오에서 온 아크스신가요?"""
ssn_014470_0002#0,"""……그렇군요,<br>가로아 씨의 지인이셨군요!"""
ssn_014470_0003#0,"""전 예전에,<br>가로아 씨에게 크게 신세진 적이 있거든요."""
ssn_014470_0004#0,"""……네, 정말 훌륭한 아크스셨어요.<br>강하고 용감하고, 리더십도 넘치시고, 모두가 좋아했죠."""
ssn_014470_0005#0,"""그래서, 얘기를 들었을 땐 정말 믿기 힘들었어요.<br>정말로 그 가로아 씨가……."""
ssn_014470_0006#0,"""………."""
ssn_014470_0007#0,"""그러고보니 방금, 따님인 아이나 씨와 만났어요.<br>뭐든지 필요한 게 있으시면, 사양 말고 말씀해 주세요."""
ssn_014470_0101#0,"""리템의 타워에는 가 본 적 있으신가요?"""
ssn_014470_0102#0,"""옛날에 가로아 씨도 도전했어요.<br>당연히, 멋지게 답파하셨죠."""
ssn_014470_0103#0,"""하지만, 가로아 씨께서 말씀하셨어요.<br>리템의 타워는 에아리오 이상으로 어렵다고요."""
ssn_014470_0104#0,"""어떠신가요?\u3000당신도 도전해 보실래요?"""
ssn_014470_0201#0,"""절대 무리하지 않는 게 가장 중요하다."""
ssn_014470_0202#0,"""가로아 씨께서 하신 말씀이에요.<br>제가 한 말처럼 얘기했네요. 아하하……."""
ssn_014470_0203#0,"""그럼, 건투를 빌게요."""
ssn_014470_0301#0,"""그렇군요, 알겠어요.<br>혹시 도전하고 싶어지시면, 그 때 말을 걸어주세요."""
ssn_014470_0401#0,"""저도 지지 않도록 열심히 해야겠네요.<br>그리고 언젠가, 가로아 씨같은 아크스가……."""
ssn_014470_0402#0,"""이번엔 정말 감사합니다.<br>정말 좋은 자극이 되었어요."""
