ssc_502090_0010#0,"""……아아, <%me>였구나."""
ssc_502090_0020#0,"""캠프에 볼일 있어?"""
ssc_502090_0030#0,"""안에 안 들어가게?"""
ssc_502090_0040#0,"""아니.<br>그냥 구경만 하고 있었어."""
ssc_502090_0050#0,"""아니, 딱히 볼 일이 있는 건 아니야."""
ssc_502090_0060#0,"""스티아의 아크스들은<br>여전히 바쁘게 돌아가는 것 같네."""
ssc_502090_0070#0,"""인력과 물자 부족은<br>예전보단 나아진 것 같지만."""
ssc_502090_0080#0,"""활동 범위가 스티아의 깊숙한 곳까지 넓어지면서<br>할 일이 더 많아진 것 같아."""
ssc_502090_0090#0,"""하지만, 누구 하나 나약한 모습을 보이지는 않네."""
ssc_502090_0100#0,"""한사람 한사람에게 사명감과 책임감이 있으니까<br>높은 사기가 유지되고 있는 모양이야."""
ssc_502090_0110#0,"""……이 광경을<br>전에도 본 적이 있어……."""
ssc_502090_0120#0,"""다른 리전의 모두를 말하는 거야?"""
ssc_502090_0130#0,"""……에아리오 타운을 말하는 거야?"""
ssc_502090_0140#0,"""맞아. 모든 리전의 아크스도<br>똑같이 열심히 하고 있어."""
ssc_502090_0150#0,"""하지만 가장 기억에 남는 것은<br>에아리오 타운의 사람들 모습이네……."""
ssc_502090_0160#0,"""응……."""
ssc_502090_0170#0,"""에아리오 타운은<br>외곽 방어의 한 축을 담당하고 있었어."""
ssc_502090_0180#0,"""센트럴 시티의 아크스가<br>감당할 수 없는 산 너머의 영역을."""
ssc_502090_0190#0,"""하지만 알다시피<br>타운의 아크스는 많지 않았어."""
ssc_502090_0200#0,"""정찰대 운영도 어려운 상황인데<br>장비 점검도 하고, 식재료도 구하고……."""
ssc_502090_0210#0,"""매일 바쁘게 일했어."""
ssc_502090_0220#0,"""게다가 돌즈의 전투는 <br>언제 벌어질지 모르는 일이야."""
ssc_502090_0230#0,"""한밤중에 습격을 받아서<br>밤새도록 대응하느라 정신이 없기도 했었어."""
ssc_502090_0240#0,"""……그러한 상황 속에서도<br>아무도 불평이나 불만을 토로하지 않았어."""
ssc_502090_0250#0,"""오히려 하루하루를<br>충실하게 사는 듯했어……."""
ssc_502090_0260#0,"""그 당시의 나는 몰랐지만,<br>그 사람들도 자신의 사명을 완수하기 위해 노력하고 있었어."""
ssc_502090_0270#0,"""그기 위해서<br>모든 일에 최선을 다하고 있었구나……."""
ssc_502090_0280#0,"""평온한 삶을 꿈꾸면서<br>헌신적으로……."""
ssc_502090_0290#0,"""……그런 그들의 \""생각\"" 우리가 서있어.<br>우리가 서있어."""
ssc_502090_0300#0,"""스티아의 아크스의 모습을 보면서<br>그 사실을 다시금 깨닫게 됐어."""
ssc_502090_0310#0,"""……미안.<br>너무 이야기를 길게 해버려서."""
ssc_502090_0320#0,"""여러가지 일들이 있었기 때문에<br>자꾸만 생각하게 되네."""
ssc_502090_0330#0,"""……지금까지의 일들.<br>그리고……앞으로의 일들……."""
ssc_502090_0340#0,"""좀 더 마음을 정리해볼게."""
ssc_502090_0350#0,"""그럼 잘…… 가."""
