name_7211#0,"""섄디"""
ssn_019020_002_0001#0,"""와주셔서 감사합니다.<br>다시 한 번 자기 소개를 하겠습니다."""
ssn_019020_002_0002#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이현상을 연구하고 있습니다."""
ssn_019020_002_0003#0,"""당신을 부른 건, 지금 일어나고 있는<br>현상의 조사를 도와주셨으면 해서요."""
ssn_019020_002_0004#0,"""와주셔서 감사합니다."""
ssn_019020_002_0005#0,"""이번에도, 당신께 조사를<br>부탁드리고 싶은데요……."""
ssn_019020_002_0101#0,"""리전 마그라고 알고 계신가요?<br>실은 이 시기가 되면 생김새가 변하거든요."""
ssn_019020_002_0102#0,"""그리고, 이 시기에만 구할 수 있는<br>개더링 소재가 있어서……."""
ssn_019020_002_0103#0,"""그걸 지금 리전마그에게 주면<br>어떤 효과가 있을지 조사해 보고 싶어요."""
ssn_019020_002_0104#0,"""우선은, 이 개더링 소재 수집을<br>부탁드려도 될까요?"""
ssn_019020_002_0105#0,"""협력자에게는 특별한 보상도 준비돼 있어요."""
ssn_019020_002_0106#0,"""그럼, 잘 부탁드립니다."""
ssn_019020_002_0006#0,"""수고 많으셨어요!<br>덕분에 좋은 데이터를 얻었어요."""
ssn_019020_002_0007#0,"""리전 마그에는 불명확한 부분이 많지만,<br>이번에 얻은 데이터가 해명하는데 도움이 될 거에요."""
ssn_019020_002_0008#0,"""다른 연구원 분들도<br>당신의 활약에 관심이 생긴 것 같아요."""
ssn_019020_002_0009#0,"""다음 번에 소개시켜 드릴게요!"""
ssn_019020_002_0010#0,"""도와주셔서 정말 감사합니다."""
ssn_019020_002_0011#0,"""보상은 받은 포인트와 교환해드리니,<br>필요한 게 있으시면, 말씀해 주세요."""
ssn_019020_002_0012#0,"""앞으로도 여러 조사나 연구에<br>협력해 주시면 좋을 것 같아요."""
ssn_019020_002_0013#0,"""앞으로도 잘 부탁드려요."""
ssn_019020_002_0014#0,"""이 시기의 에너미의 변화에 관해서는<br>주의 깊게 조사중이에요."""
ssn_019020_002_0015#0,"""아무리 사소한 데이터라도<br>제공해 주셨으면 해요."""
npc_menu_0001#0,"""태스크 수주"""
npc_menu_0002#0,"""시즈널 포인트로 아이템 교환"""
npc_menu_0003#0,"""시즈널 이벤트의 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_0006#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_0007#0,"""\""시즈널 이벤트 캐릭터\""에 관하여"""
npc_menu_0008#0,"""\""데일리/위클리 태스크\""에 관하여"""
npc_menu_0009#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_0010#0,"""\""시즈널 개더링\""에 관하여"""
npc_menu_0011#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_0012#0,"""묻고 싶은 것이 없다"""
