name_7210#0,"""スローナ"""
ssn_005070_0001#0,"""ようこそセントラルへ。"""
ssn_005070_0002#0,"""ここは、たくさんのアークスたちが住んでいる都市です。<br>施設も色々ありますので、ぜひ見て回ってください。"""
ssn_005070_0101#0,"""リージョンマグをご存じですか？"""
ssn_005070_0051#0,"""もしご存じなければ、お教えしましょう。"""
ssn_005070_0052#0,"""では、お聞きください。"""
ssn_005070_0102#0,"""各地に設置されている、巨大なマグのような形をしたものを、<br>私たちはリージョンマグと呼んでいます。"""
ssn_005070_0103#0,"""リージョンマグに、アイテムなどを投げ込むと、<br>“良いこと”があると言われています。"""
ssn_005070_0104#0,"""見かけたら、貴方もぜひ試してみてください。"""
ssn_005070_0201#0,"""おつかれさまです。<br>リージョンマグを見つけられたようですね。"""
ssn_005070_0202#0,"""“良いこと”の効果を、<br>すぐに実感できるかはわかりませんが……。"""
ssn_005070_0203#0,"""リージョンマグは、ほかにもいくつかあって、<br>その恩恵はさまざまだと言われています。"""
ssn_005070_0204#0,"""見つけたら、なにか投げ込んでみると良いでしょう。"""
ssn_005070_0301#0,"""……そうですか。それではまたの機会に。"""
