name_7717#0,"""비버리"""
ssn_014630_0001#0,"""이봐, 형씨!<br>좀 할 얘기가 있는데."""
ssn_014630_0002#0,"""지금 시간 괜찮지?"""
ssn_014630_0201#0,"""너라면<br>트리니테스도 끝까지 답파할 수 있을 것 같거든."""
ssn_014630_0202#0,"""우리도 응원할 테니까!<br>멋있는 모습 한 번 보여 줘, 알았지!"""
ssn_014630_0203#0,"""아, 그런가…<br>그럼, 마음 내키면 다시 말 걸어 줘."""
ssn_014630_0301#0,"""오오! 해냈구나!<br>역시 넌 대단하네. 진짜 존경스럽다니까."""
ssn_014630_0302#0,"""좋아!\u3000우리도 열심히 해야지.<br>널 조금이라도 따라잡을 수 있도록 말이야."""
ssn_014630_0401#0,"""…어?\u3000이미 트리니테스를 답파했어?<br>뭐야, 진작 말해 주지~"""
ssn_014630_0402#0,"""역시 넌 대단하네.<br>진짜 존경스럽다니까."""
ssn_014630_0403#0,"""좋아!\u3000우리도 열심히 해야지.<br>널 조금이라도 따라잡을 수 있도록 말이야."""
ssn_014630_0501#0,"""역시 넌 대단하네.<br>진짜 존경스럽다니까."""
ssn_014630_0502#0,"""좋아!\u3000우리도 열심히 해야지.<br>널 조금이라도 따라잡을 수 있도록 말이야."""
