name_7707#0,"""마린"""
ssn_014424_0001#0,"""또 도와준다고?\u3000고마워~.<br>그래서, 야채는 가져 온 거야?"""
ssn_014424_0101#0,"""삿파 리테나크란베를 10개 준다"""
ssn_014424_0102#0,"""그만둔다"""
ssn_014424_0201#0,"""고마워~.<br>제대로 가져왔구나."""
ssn_014424_0202#0,"""어, 조금 부족할 거 같은데…….<br>미안하지만, 좀 더 모아와 줄 수 있어?"""
ssn_014424_0203#0,"""어머……그래.<br>다음번엔 꼭 부탁해."""
ssn_014424_0301#0,"""헤에, 신선하기도 해라.<br>정말로 좋은 식재인걸?"""
ssn_014424_0302#0,"""이거면 영양도 만점이지. 환자들도 기운 낼 수 있을 거야.<br>그럼, 힘 좀 써 볼까."""
ssn_014424_0401#0,"""괜찮아?<br>피곤하진 않고?"""
ssn_014424_0402#0,"""배고파지면,<br>뭐 맛있는 거라도 해줄게."""
ssn_014424_0501#0,"""아이고, 고생 많았어.<br>덕분에 이제 기운 나는 요리를 만들 수 있겠어."""
ssn_014424_0502#0,"""그럼, 바로 일해 볼까."""
