name_7664#0,"""호냥"""
ssn_011171_0010#0,"""후후후, 좋은 마음가짐이야."""
ssn_011171_0020#0,"""…가만, 당신 클래스가 텍터가 아닌데?"""
ssn_011171_0030#0,"""싸우는 법을 배우고 싶다면, \""클래스 카운터\""에서<br>클래스를 텍터로 변경한 뒤에 와."""
ssn_011171_0040#0,"""그리고, 텍터의 \""클래스스킬\""도<br>제대로 배우도록 하고."""
ssn_011171_0050#0,"""그래도 일단, 설명은 먼저 해둘게."""
ssn_011171_0060#0,"""텍터는 아군을 보조하는데 능한 클래스야."""
ssn_011171_0070#0,"""클래스 스킬도<br>아군의 공격력이나 방어력을 올려주는 게 많아."""
ssn_011171_0080#0,"""전투와 동시에 보조하는 것으로,<br>파티에 큰 공헌을 할 수 있는 클래스인 셈이지."""
ssn_011171_0090#0,"""그렇지… 초심자는 일단<br>\""시프타/데반드\""에 능숙해 져야지."""
ssn_011171_0100#0,"""훈련 과제를 내 줄게. 해 보도록 해."""
