ssc_012010_5010#0,"""벌써 시간이 이렇게 됐군."""
ssc_012010_0010#0,"""잘 와 주었다."""
ssc_012010_0020#0,"""덕분에 연주회의 준비는 다 됐다."""
ssc_012010_0030#0,"""남은 건 본무대를 기다릴 뿐이야."""
ssc_012010_0040#0,"""사람이 엄청 많네！"""
ssc_012010_0050#0,"""너희들도 와 주었나."""
ssc_012010_0060#0,"""물론이지.<br>나데레프의 노래를 들을 수 있는걸."""
ssc_012010_0070#0,"""거기에 이번엔 악단의 연주도 붙어있으니까.<br>기대돼."""
ssc_012010_0080#0,"""오늘은 모두 최선을 다해서 연주할 거다.<br>즐겨줬으면 해."""
ssc_012010_0090#0,"""……허나, 아직 이 근처에<br>돌즈가 목격되고 있다."""
ssc_012010_0100#0,"""만약의 경우에는, 함께 회장을 지켜주지 않겠나."""
ssc_012010_0110#0,"""응, 알았어！"""
ssc_012010_0120#0,"""그럼, 슬슬 시간이 됐다."""
ssc_012010_5020#0,"""휘유ー, 나데레프！"""
ssc_012010_0130#0,"""모두들, 오늘은 잘 모여 주었다."""
ssc_012010_0140#0,"""이 연주회의 취지는<br>이미 전달해둔 대로다."""
ssc_012010_0150#0,"""모두가 물론 알다시피,<br>이 리템에서는 음악이 번성하고 있었다."""
ssc_012010_0160#0,"""지금부터 음악의 문화를<br>부흥시켜나가려고 한다."""
ssc_012010_0170#0,"""오늘의 연주회는, 그것을 위한 첫걸음이다.<br>부흥을 복돋워나가기 위한 좋은 기회로 하고 싶다."""
ssc_012010_0180#0,"""그리 말해도, 딱딱하게 굴 건 없다.<br>편하게 즐기고 가다오."""
ssc_012010_5030#0,"""오오ー, 멋있어ー"""
ssc_012010_5040#0,"""뭐, 뭐야!?"""
ssc_012010_0190#0,"""레누스라고……！？"""
ssc_012010_0200#0,"""그런데, 저번에 싸웠던 거랑은 달라……！？"""
ssc_012010_0210#0,"""다른 타입이네.<br>공격 성능이 다를 가능성이 있어. 조심해."""
ssc_012010_0220#0,"""하디, 저 녀석은 우리가 맡겠다！<br>너희는 모두의 안전 확보를 부탁해."""
ssc_012010_0230#0,"""알았다！"""
