name_7236#0,"""팀"""
ssn_015150_0001#0,"""안녕, 넌 \""별을 건너는 자\""인 것 같구나.<br>실력도 제법 좋아 보이고."""
ssn_015150_0002#0,"""그런데, 넌 동료들과 잘 지내고 있니?<br>아크스로 살아가려면 팀워크가 중요해."""
ssn_015150_0003#0,"""그래. 나중에 자세히 이야기하자."""
ssn_015150_0101#0,"""안녕. 잘 왔어.<br>난 팀 활동 지원관, 팀이야."""
ssn_015150_0102#0,"""너는 \""팀\""에 들어가 있니?"""
ssn_015150_0103#0,"""팀이란… 저마다 뜻을 품은<br>아크스들이 서로 협력하는 집단을 뜻하는 말이야."""
ssn_015150_0104#0,"""멤버들이 힘을 모으면 팀은 점점 더 높은 곳으로 나아갈 수 있어.<br>그걸 위해 내가 생각한 커리큘럼이 있지."""
ssn_015150_0105#0,"""안녕, 어서 와."""
ssn_015150_0106#0,"""멤버들이 힘을 모으면 팀은 점점 더 높은 곳으로 나아갈 수 있어.<br>그걸 위해 내가 생각한 커리큘럼이 있지."""
ssn_015150_0107#0,"""어때? 한번 해 볼래?"""
ssn_015150_0201#0,"""안녕, 어서 와."""
ssn_015150_0202#0,"""팀을 창설했거나… 아니면<br>어딘가의 팀에 들어갔니?"""
ssn_015150_0203#0,"""멤버들이 힘을 모으면 팀은 점점 더 높은 곳으로 나아갈 수 있어.<br>그걸 위해 내가 생각한 커리큘럼이 있지."""
ssn_015150_0204#0,"""어때? 한번 해 볼래?"""
ssn_015150_0301#0,"""…어?<br>아직 어느 팀에도 들어가지 않은 것 같네."""
ssn_015150_0302#0,"""그러면, 내 커리큘럼을 받아도<br>그다지 의미가…"""
ssn_015150_0303#0,"""먼저 팀에 들어간 뒤에 다시 와 줘."""
ssn_015150_0304#0,"""소속하려면, 직접 앞에 나서서 멤버를 모집하거나,<br>아니면 다른 아크스의 팀에 들어가거나. 둘 중 하나야."""
ssn_015150_0305#0,"""기다리고 있을게."""
ssn_015150_0401#0,"""안녕, 요즘은 어때?<br>팀 활동은 순조로워?"""
ssn_015150_0402#0,"""그럼, 커리큘럼에 도전해 줘."""
npc_menu_0001#0,"""팀 태스크 수주"""
npc_menu_0002#0,"""팀 뱃지와 교환"""
npc_menu_0003#0,"""메뉴 닫기"""
npc_menu_0004#0,"""\""팀\""에 관하여"""
npc_menu_0005#0,"""\""팀 태스크\""에 관하여"""
npc_menu_0006#0,"""팀 태스크 레코드 확인"""
