name_7197#0,"""샨레이"""
ssn_005140_0001#0,"""새로 오신 분이군요. 처음 뵙겠습니다."""
ssn_005140_0002#0,"""구이덴 씨에게서 기초를 배우고 계신 중이죠.<br>그게 일단락되면 다시 이곳으로 와 주세요."""
ssn_005140_0101#0,"""잘 와 주셨습니다.<br>저는 샨레이라고 합니다. 거너 교관입니다."""
ssn_005140_0102#0,"""구이덴 씨에게 이야기는 들었습니다.<br>거너에 대해 알려 드릴까요?"""
ssn_005140_0151#0,"""아무래도 거너는 아닌 것 같네요."""
ssn_005140_0152#0,"""훈련하고 싶으시다면 \""클래스 카운터\""에서<br>클래스를 거너로 바꾸고 와 주세요."""
ssn_005140_0153#0,"""그리고 거너의 클래스 스킬 습득도 잊지 말아 주세요."""
ssn_005140_0301#0,"""그렇군요…….<br>거너에 대해 배우고 싶어지시면 다시 와 주세요."""
ssn_005140_0103#0,"""거너는 근거리 사격에 특화된 클래스입니다.<br>공중에서의 기동력이 높은 것도 특징이라고 할 수 있죠."""
ssn_005140_0104#0,"""주목해야 할 클래스 스킬은 \""체인 트리거\""입니다."""
ssn_005140_0105#0,"""체인 트리거를 발동했다면 에너미에게 공격을 연속 히트시켜,<br>강력한 체인 피니시를 노립니다."""
ssn_005140_0106#0,"""그것을 기본으로 삼고, 다른 스킬도 병용해 가면 좋겠죠.<br>그렇네요…… 특히 \""체인 부스트\""를 추천합니다."""
ssn_005140_0107#0,"""우선은 실전에서 시험해 보세요.<br>훈련 과제를 내 드리겠습니다."""
ssn_005140_0201#0,"""수고하셨습니다.<br>그 모습을 보니 감이 잡힌 것 같네요."""
ssn_005140_0202#0,"""전투의 핵심은 역시 클래스 스킬입니다.<br>스킬 사용법에 따라 싸움의 폭은 계속 넓어지니까요."""
ssn_005140_0203#0,"""힘내서 실력을 갈고닦아 가 주세요."""
