ssn_011110_0001#0,"""개더링은 즐기고 있어?"""
ssn_011110_0002#0,"""시티 밖에선 채소나 과일, 광석에다<br>테임즈에게선 고기까지, 여러 가지를 구할 수 있지."""
ssn_011110_0003#0,"""그런 식재료나 소재는 전투에 도움이 된다네.<br>보이면 모아두는 게 좋아!"""
ssn_011110_0004#0,"""그럼 힘내게!"""
ssn_011110_0101#0,"""개더링은 순조로운가?"""
ssn_011110_0102#0,"""나는 특히 광석을 좋아해.<br>시간 내서 이곳저곳 찾아다니고 있지."""
ssn_011110_0103#0,"""그래서 광석에 대해선 꽤 자세히 알고 있지.<br>괜찮다면 여러 가지 가르쳐 주마!"""
ssn_011110_0201#0,"""모노타이트는 붉은 광택을 띈 광석이다."""
ssn_011110_0202#0,"""그저 바라보기만 해도 즐겁지만<br>아이템 랩에 가져가면 장비 강화에도 활용할 수 있지."""
ssn_011110_0203#0,"""강화에 쓸 수 있는 광석은 장비마다 다르니<br>랩 메뉴를 잘 확인해 보는 게 좋아."""
ssn_011110_0204#0,"""모노타이트는 중앙 에아리오의 바위 지대에서 찾을 수 있을 거야.<br>시험 삼아 한번 캐 보게!"""
ssn_011110_0301#0,"""음 그렇군…<br>그건 안타깝군."""
ssn_011110_0302#0,"""광석에 대해 배우고 싶다면<br>언제든지 물어봐."""
