name_7663#0,"""샤르키(미사용)"""
ssn_005130_0001#0,"""…新人か。<br>まだ基礎を学んでいるようだな。"""
ssn_005130_0002#0,"""…もう少し腕を磨いたら、また来るといい。"""
ssn_005130_0101#0,"""…待っていた。<br>私はレンジャー教導官、샤르키。"""
ssn_005130_0102#0,"""…グイーデンから、あらましは聞いた。<br>レンジャーについて学びたいか？"""
ssn_005130_0301#0,"""…그렇군.<br>생각이 바뀌면 다시 찾아오도록."""
ssn_005130_0151#0,"""…レンジャーではないな。"""
ssn_005130_0152#0,"""…訓練したければ”クラスカウンター”で<br>クラスをレンジャーにしてきてほしい。"""
ssn_005130_0153#0,"""…レンジャーのクラススキル習得も忘れないようにしておいて。"""
ssn_005130_0103#0,"""…레인저는 원거리에서의 사격이 특기인 클래스다."""
ssn_005130_0104#0,"""…에너미와 거리를 두는 만큼 안전하게 싸울 수 있지."""
ssn_005130_0105#0,"""…そして、すすめておきたいクラススキルがある。<br>それが…“ウィークバレット”。"""
ssn_005130_0106#0,"""…手強い敵と戦うとき、有効的だろう。"""
ssn_005130_0107#0,"""…우선 실전으로 시험해 봐라. 훈련 과제를 내주지."""
ssn_005130_0201#0,"""…어땠나?<br>모습을 보아하니 좋은 경험이 됐나 보군."""
ssn_005130_0202#0,"""…전투의 중점은 역시 클래스 스킬이다.<br>스킬로 전투의 폭이 넓어지지."""
ssn_005130_0203#0,"""…場数を踏むといい。<br>期待している。"""
