name_7199#0,"""구이덴"""
ssn_014381_0010#0,"""그래, 그럼 설명하지."""
ssn_014381_0020#0,"""전투력을 올리려면,<br>먼저 에너미와의 전투로 경험을 쌓는 게 좋을 거다."""
ssn_014381_0030#0,"""장비를 강화하는 것도 중요하다.<br>무기의 잠재 능력을 해방하는 것도 마찬가지고."""
ssn_014381_0040#0,"""이것들을 다시 한 번 해 보도록 해.<br>기초를 확인하면, 네 기량의 폭도 더 넓어질 거다."""
ssn_014381_0050#0,"""그래…, 강화에 필요한 아이템을 주지.<br>가진 게 없으면 이걸 쓰도록 해."""
ssn_014381_0060#0,"""꼭 시도해 보도록."""
ssn_014381_1011#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1021#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1031#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1041#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1051#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1061#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1071#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1081#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1091#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_2010#0,"""포톤 청크를 5개, N-그라인더를 5개, 1000<pict reb_meseta>메세타를 입수했습니다."""
ssn_014381_1010#0,"""에볼코트 소드+49, 에볼코트 와이어+49, 에볼코트 스피어+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1020#0,"""에볼코트 대거+49, 에볼코트 세이버+49, 에볼코트 너클+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1030#0,"""에볼코트 라이플+49, 에볼코트 런처+49, 에볼코트 머신건+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1040#0,"""에볼코트 라이플+49, 에볼코트 런처+49, 에볼코트 머신건+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1050#0,"""에볼코트 로드+49, 에볼코트 탈리스+49, 에볼코트 완드+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1060#0,"""에볼코트 로드+49, 에볼코트 탈리스+49, 에볼코트 완드+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1070#0,"""에볼코트 카타나+49, 에볼코트 보우+49, 에볼코트 부츠+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1080#0,"""에볼코트 부츠+49, 에볼코트 블레이드+49, 에볼코트 보우+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1090#0,"""에볼코트 택트+49, 에볼코트 카타나+49, 에볼코트 블레이드+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1100#0,"""에볼코트 슬래시+49, 에볼코트 부츠+49, 에볼코트 택트+49, 캐트리어 아머+49, N-그라인더를 10개"""
ssn_014381_1101#0,"""포톤 청크를 100개, 모노타이트를 40개, 듀아로마이트를 40개, 트라이나이트를 40개, 300000<pict reb_meseta>메세타를 입수했습니다."""
