name_7200#0,"""카르테뷔에"""
ssn_012051_0104#0,"""뭘, 그렇게까지 어려운 이야기는 아니야."""
ssn_012051_0105#0,"""무기나 방어구는 아이템 랩에서 강화할 수 있어.<br>하지만, 그 강화에도 한계가 있어."""
ssn_012051_0106#0,"""그 한계를 돌파하려면<br>어떻게 해야 하나… 하는 이야기야."""
ssn_012051_0107#0,"""이건 말보다 직접 해보는 게 낫겠구나.<br>자, 이걸 줄 테니 랩에 가봐."""
ssn_012051_0401#0,"""프림 소드 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0402#0,"""프림 너클 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0403#0,"""프림 라이플 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0404#0,"""프림 머신건 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0405#0,"""프림 로드 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0406#0,"""프림 완드 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0407#0,"""프림 카타나 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0408#0,"""프림 부츠 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0409#0,"""프림 택트 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0410#0,"""프림 슬래시 10개, 모노타이트 30개, 듀아로마이트 30개, 트라이나이트 30개, 120,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0501#0,"""프림 소드 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0502#0,"""프림 너클 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0503#0,"""프림 라이플 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0504#0,"""프림 머신건 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0505#0,"""프림 로드 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0506#0,"""프림 완드 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0507#0,"""프림 카타나 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0508#0,"""프림 부츠 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0509#0,"""프림 택트 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
ssn_012051_0510#0,"""프림 슬래시 1개, 모노타이트 5개, 듀아로마이트 5개, 트라이나이트 5개, 10,000<pict reb_meseta>메세타를 입수했습니다."""
