name_7020#0,"""무우라"""
ssn_014560_0001#0,"""리템 시티에 온 걸 환영합니다."""
ssn_014560_0002#0,"""저는 나데레프 님의 시녀,<br>무우라라고 합니다."""
ssn_014560_0003#0,"""나데레프 님께선 바쁘신지라, 드릴 말씀이 있으시다면<br>저를 통해 말씀해 주세요. 잘 부탁드립니다."""
ssn_014560_0011#0,"""모라바 협곡에서의 활약은<br>익히 들었습니다."""
ssn_014560_0012#0,"""여러분께서 힘을 빌려주신 덕분에,<br>저희도 큰 도움을 받았습니다."""
ssn_014560_0013#0,"""바쁘신 탓에 밖에 자주 나오진 않으시지만,<br>나데레프 님께서도 기뻐하고 계십니다."""
ssn_014560_0014#0,"""앞으로도, 잘 부탁드립니다."""
ssn_014560_0021#0,"""나데레프 님께서<br>몸을 다치신 듯 합니다……."""
ssn_014560_0022#0,"""그런데도 쉬지 않고<br>마을 사람들을 지휘하고 계시니……."""
ssn_014560_0023#0,"""나데레프 님이 걱정됩니다.<br>너무 무리하시면 힘드실텐데……."""
ssn_014560_0101#0,"""마침 잘 와주셨습니다.<br>당신께 부탁드리고 싶은 게 있습니다."""
ssn_014560_0102#0,"""“포톤 튜너”를 알고 계시는지요?<br>네, 노랫소리에 반응하는 그 장치입니다."""
ssn_014560_0103#0,"""오랫동안 방치되어 있던지라<br>각지의 장치의 상태를 확인하고 싶습니다만……."""
ssn_014560_0201#0,"""포톤 튜너의 위치 정보를 보내드렸으니,<br>조사해 주실 수 있을지요?"""
ssn_014560_0202#0,"""여러 군데를 돌아다녀야 하는 일이라<br>수고스러우실지도 모르지만, 부탁드립니다."""
ssn_014560_0301#0,"""알겠습니다 지금은 바쁘신 거군요.<br>시간이 비실 때 협력해 주세요."""
ssn_014560_0401#0,"""시티의 주민들도<br>조금씩 음악을 접하는 시간이 늘고 있습니다."""
ssn_014560_0402#0,"""옛날처럼, 모두가 노래하고 춤추는<br>시대가 오면 좋겠네요."""
