name_7211#0,"""섄디"""
name_7224#0,"""시트레"""
ssn_019140_002_0010#0,"""와주셔서 감사합니다.<br>다시 한 번 자기소개를 하겠습니다."""
ssn_019140_002_0020#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이 현상을 연구하고 있습니다."""
ssn_019140_002_0030#0,"""당신을 부른 것은 지금 일어나고 있는<br>현상의 조사를 도와주셨으면 해서입니다."""
ssn_019140_002_0040#0,"""실은, 요즘 각지에서<br>에너미와의 조우전이 급증하고 있습니다."""
ssn_019140_002_0050#0,"""적의 움직임이 활발해지고 있는 것인지,<br>그게 아니라면 개체수가 증가하고 있는 것인지……."""
ssn_019140_002_0060#0,"""전투단의 아크스는<br>항상 교전 상태."""
ssn_019140_002_0070#0,"""후방 지원단의 일부도<br>순찰과 경비를 담당하고 있습니다."""
ssn_019140_002_0080#0,"""대규모 공세는 없을 것 같지만<br>이대로 장기화가 되면 좋지 않을 겉 같아요.……."""
ssn_019140_002_0090#0,"""그래서 저희는 에너미의 목격담이<br>많은 곳을 중심으로 조사하고 있습니다."""
ssn_019140_002_0100#0,"""우선 지금부터 지정한 장소로<br>가주실 수 있으실까요?"""
ssn_019140_002_0110#0,"""단독으로 행동하는 건 위험할 수 있지만,<br>경험이 많은 당신이라면 분명 괜찮을 거예요."""
ssn_019140_002_0120#0,"""잘 부탁드립니다."""
ssn_019140_002_0210#0,"""와주셔서 감사합니다."""
ssn_019140_002_0220#0,"""이번에도 당신에게 조사를<br>부탁드리고 싶습니다……."""
ssn_019140_002_0230#0,"""실은, 요즘 각지에서<br>에너미와의 조우전이 급증하고 있습니다."""
ssn_019140_002_0240#0,"""적의 움직임이 활발해지고 있는 것인지,<br>그게 아니라면 개체수가 증가하고 있는 것인지……."""
ssn_019140_002_0250#0,"""전투단의 아크스는<br>항상 교전 상태."""
ssn_019140_002_0260#0,"""후방 지원단의 일부도<br>순찰과 경비를 담당하고 있습니다."""
ssn_019140_002_0270#0,"""대규모 공세는 없을 것 같지만<br>이대로 장기화가 되면 좋지 않을 겉 같아요.……."""
ssn_019140_002_0280#0,"""그래서 저희는 에너미의 목격담이<br>많은 곳을 중심으로 조사하고 있습니다."""
ssn_019140_002_0290#0,"""우선 지금부터 지정한 장소로<br>가주실 수 있으실까요?"""
ssn_019140_002_0300#0,"""단독으로 행동하는 건 위험할 수 있지만,<br>경험이 많은 당신이라면 분명 괜찮을 거예요."""
ssn_019140_002_0310#0,"""잘 부탁드립니다."""
ssn_019140_002_1010#0,"""<%me> 씨,<br>감사합니다."""
ssn_019140_002_1020#0,"""많은 적을 쓰러뜨릴 수 있었기에<br>위험한 상황은 벗어난 것 같습니다."""
ssn_019140_002_1030#0,"""덕분에 많은 데이터를 얻을 수 있었습니다."""
ssn_019140_002_1040#0,"""에너미의 활동에는<br>일정한 주기가 있는 것 같습니다."""
ssn_019140_002_1050#0,"""거기에는 시즌 심볼 등이<br>관련되어 있다고 생각됩니다……."""
ssn_019140_002_1060#0,"""심볼이 나타났다고 해서<br>반드시 적의 행동이 강화되는 것은 아닙니다."""
ssn_019140_002_1070#0,"""인과관계를 증명하기 위해서는<br>더 많은 데이터가 필요합니다."""
ssn_019140_002_1080#0,"""앞으로도<br>연구에 도움을 주시면 감사하겠습니다."""
ssn_019140_002_1090#0,"""잘 부탁드리겠습니다."""
ssn_019140_002_1100#0,"""그래서……."""
ssn_019140_002_1110#0,"""으음…… 아, 연결됐나?<br>잠깐 괜찮을까?"""
ssn_019140_002_1120#0,"""시트레?<br>무슨 일이야?"""
ssn_019140_002_1130#0,"""아 지금 얘기중인 건,<br>아까 도와주신 분이지?"""
ssn_019140_002_1140#0,"""잠시 부탁이 있어서."""
ssn_019140_002_1150#0,"""계속해서 미안하지만,<br>보급대의 의뢰를 받아줬으면 해서."""
ssn_019140_002_1160#0,"""에너미의 숫자는 많이 줄었지만<br>아직도 정상적인 임무에 복귀할 수 있는 상태는 아닌 거 같아.."""
ssn_019140_002_1170#0,"""그 실력을 기대하며<br>토벌을 도와줬으면 좋겠어."""
ssn_019140_002_1180#0,"""그럼 부탁할게!"""
ssn_019140_002_1190#0,"""자, 잠깐, 시트레?"""
ssn_019140_002_1200#0,"""……여전히<br>마이웨이인 사람이네요."""
ssn_019140_002_1210#0,"""죄송합니다.<br>시트레의 부탁도 들어주실 수 있으신가요?"""
ssn_019140_002_2010#0,"""<%me> 씨,<br>감사합니다."""
ssn_019140_002_2020#0,"""많은 적을 쓰러뜨릴 수 있었기에<br>위험한 상황은 벗어난 것 같습니다."""
ssn_019140_002_2030#0,"""덕분에 많은 데이터를 얻을 수 있었습니다."""
ssn_019140_002_2040#0,"""에너미의 활동에는<br>일정한 주기가 있는 것 같습니다."""
ssn_019140_002_2050#0,"""거기에는 시즌 심볼 등이<br>관련되어 있다고 생각됩니다……."""
ssn_019140_002_2060#0,"""심볼이 나타났다고 해서<br>반드시 적의 행동이 강화되는 것은 아닙니다."""
ssn_019140_002_2070#0,"""인과관계를 증명하기 위해서는<br>더 많은 데이터가 필요합니다."""
ssn_019140_002_2080#0,"""앞으로도<br>연구에 도움을 주시면 감사하겠습니다."""
ssn_019140_002_2090#0,"""잘 부탁드리겠습니다."""
ssn_019140_002_2100#0,"""그래서……."""
ssn_019140_002_2110#0,"""으음…… 아, 연결됐나?<br>잠깐 괜찮을까?"""
ssn_019140_002_2120#0,"""시트레?<br>무슨 일이야?"""
ssn_019140_002_2130#0,"""<%me>에게<br>부탁이 있어서."""
ssn_019140_002_2140#0,"""계속해서 죄송하지만,<br>보급대의 의뢰를 받아줬으면 해서."""
ssn_019140_002_2150#0,"""에너미의 숫자는 많이 줄었지만<br>아직도 정상적인 임무에 복귀할 수 있는 상태는 아닌 거 같아.."""
ssn_019140_002_2160#0,"""언제나처럼<br>후딱 토벌해 줄 순 없을까?"""
ssn_019140_002_2170#0,"""그럼 잘 부탁해!"""
ssn_019140_002_2180#0,"""자, 잠깐, 시트레?"""
ssn_019140_002_2190#0,"""……여전히<br>마이웨이인 사람이네요."""
ssn_019140_002_2200#0,"""죄송합니다.<br>시트레의 부탁도 들어주실 수 있으신가요?"""
ssn_019140_002_5010#0,"""에너미의 활동은<br>일정하지 않고 끈임없이 변화하고 있습니다."""
ssn_019140_002_5020#0,"""어떤 작은 변화라도<br>놓치지 않아야 할 겉 같네요."""
npc_menu_0010#0,"""시즈널 포인트와 교환하기 ($(0)まで)"""
npc_menu_0020#0,"""시즈널 이벤트에 대해 묻기"""
npc_menu_0030#0,"""메뉴 닫기"""
npc_menu_0040#0,"""아이템 리사이클 (2023년 4월 5이 12시 00분까지）"""
npc_menu_1010#0,"""\""시즈널 이벤트\""에 대해"""
npc_menu_1020#0,"""\""시즌 에너미\""에 대해"""
npc_menu_1030#0,"""\""미스치프 심볼\""에 대해"""
npc_menu_1040#0,"""\""시즈널 리전 마그\""에 대해"""
npc_menu_1050#0,"""\""시즈널 공투 트라이얼\""에 대해"""
npc_menu_2000#0,"""묻고 싶은 것이 없다"""
