name_7403#0,"""리디아"""
ssn_015190_0001#0,"""새로 오신 \""별을 건너는 자\""님이시군요.<br>들러주셔서 감사합니다."""
ssn_015190_0002#0,"""하지만 죄송합니다.<br>공교롭게도 지금은 준비 중입니다."""
ssn_015190_0003#0,"""나중에 다시 와 주세요.<br>기다리고 있겠습니다."""
ssn_015190_0101#0,"""잘 오셨습니다.<br>저는 아크스상급 정보 지원관 리디아라고 합니다."""
ssn_015190_0102#0,"""아크스 여러분께서 편안하게 지내실 수 있도록<br>유용한 정보를 제공하고 있습니다."""
ssn_015190_0103#0,"""뭔가 물어보실 게 있으신가요??"""
ssn_015190_0201#0,"""샵 에서는 다양한 아이템이 준비되어 있습니다."""
ssn_015190_0202#0,"""꼭 한번 자세하게 봐주시길 바랍니다."""
ssn_015190_0301#0,"""다음에 또 와주시길 기다리고 있겠습니다."""
ssn_015190_0401#0,"""아크스 여러분께서 편안하게 지내실 수 있도록<br>유용한 정보를 제공하고 있습니다."""
ssn_015190_0402#0,"""모르는 것이 있으시면,<br>언제든 다시 들러 주세요.."""
npc_menu_0001#0,"""태스크 수주하기"""
npc_menu_0002#0,"""\""샵 (메인 메뉴)\""에 대해 물어보기"""
npc_menu_0003#0,"""메뉴 닫기"""
npc_menu_0004#0,"""\""샵\""에 대해"""
npc_menu_0005#0,"""\""AC・SG샵\""에 대해"""
npc_menu_0006#0,"""\""아이템 리사이클\""에 대해"""
npc_menu_0007#0,"""\""트레저 샵 (SG)\""에 대해"""
npc_menu_0008#0,"""\""트레저 샵 (N-메세타)\""에 대해"""
npc_menu_0009#0,"""묻고 싶은 것은 없다"""
npc_menu_0010#0,"""\""스크래치 긁기\""에 대해"""
npc_menu_0011#0,"""기타 조언을 듣기"""
npc_menu_0012#0,"""\""아크스 카드\""에 대해"""
npc_menu_0013#0,"""\""미션 패스\""에 대해"""
npc_menu_0014#0,"""\""게임 가이드\""에 대해"""
npc_menu_0015#0,"""\""코디 카탈로그\""에 대해"""
npc_menu_0016#0,"""\""스탬프\""에 대해"""
npc_menu_0017#0,"""“ポータブルホログラム”について"""
npc_menu_0018#0,"""“素材倉庫”について"""
npc_menu_0019#0,"""“ほしい物リスト”について"""
