name_7211#0,"""섄디"""
ssn_019050_002_0001#0,"""와주셔서 감사합니다.<br>다시 한 번 자기 소개를 하겠습니다."""
ssn_019050_002_0002#0,"""저는 섄디. 할파에서 발생하는<br>다양한 특이현상을 연구하고 있습니다."""
ssn_019050_002_0003#0,"""당신을 부른 건, 지금 일어나고 있는<br>현상의 조사를 도와주셨으면 해서요."""
ssn_019050_002_0004#0,"""할파는 1년 내내에는 기온 변화가 적지만,<br>이 시기에만 온도가 저하돼요."""
ssn_019050_002_0005#0,"""그 영향인지<br>나무 일부가 백색화되는 등의 변화가 발생하기도 해요."""
ssn_019050_002_0006#0,"""이 현상에 대한 조사에 협력해 주세요."""
ssn_019050_002_0007#0,"""먼저……그렇지,<br>이 시기에만 구할 수 있는 개더링 소재 수집을 부탁드려도 될까요?"""
ssn_019050_002_0008#0,"""협력자에게는 특별한 보상도 준비돼 있어요."""
ssn_019050_002_0009#0,"""그럼, 잘 부탁드립니다."""
ssn_019050_002_0010#0,"""와주셔서 감사합니다."""
ssn_019050_002_0011#0,"""이번에도, 당신께 조사를<br>부탁드리고 싶은데요……."""
ssn_019050_002_0012#0,"""협력자에게는 특별한 보상도 준비돼 있어요."""
ssn_019050_002_0013#0,"""그럼, 잘 부탁드립니다."""
ssn_019050_002_0014#0,"""수고 많으셨어요!<br>귀중한 데이터를 많이 구할 수 있었어요."""
ssn_019050_002_0015#0,"""이를 토대로 기온 저하의 원인 규명도<br>생태계나 에너미에게 미치는 영향도 조사할 계획이에요."""
ssn_019050_002_0016#0,"""그리고, 조사 과정에서 다른 부문의 친구하고 얘기가 있어서,<br>당신을 소개해 줬어요."""
ssn_019050_002_0017#0,"""어쩌면 무슨 의뢰를 받으실 수도 있어요.<br>그 땐, 괜찮으시다면 협력해 주세요."""
ssn_019050_002_0018#0,"""도와주셔서 정말 감사합니다."""
ssn_019050_002_0019#0,"""보상은 받은 포인트와 교환해드리니,<br>필요한 게 있으시면, 말씀해 주세요."""
ssn_019050_002_0020#0,"""앞으로도 잘 부탁드려요."""
ssn_019050_002_0021#0,"""기온 저하의 원인은 주의 깊게 조사중이에요."""
ssn_019050_002_0022#0,"""아무리 사소한 데이터라도<br>제공해 주셨으면 해요."""
npc_menu_0001#0,"""태스크 수주"""
npc_menu_0002#0,"""시즈널 포인트로 아이템 교환"""
npc_menu_0003#0,"""시즈널 이벤트의 설명 듣기"""
npc_menu_0004#0,"""메뉴 닫기"""
npc_menu_0005#0,"""\""시즈널 이벤트\""에 관하여"""
npc_menu_0006#0,"""\""시즈널 이벤트 캐릭터\""에 관하여"""
npc_menu_0007#0,"""\""데일리/위클리 태스크\""에 관하여"""
npc_menu_0008#0,"""\""미스치프 심볼\""에 관하여"""
npc_menu_0009#0,"""\""시즈널 개더링\""에 관하여"""
npc_menu_0010#0,"""\""시즈널 리전 마그\""에 관하여"""
npc_menu_0011#0,"""\""시즌 에너미\""에 관하여"""
npc_menu_0012#0,"""\""월드 트라이얼\""에 관하여"""
npc_menu_0013#0,"""묻고 싶은 것이 없다"""
