name_7201#0,"""소뮤아"""
ssn_005010_0001#0,"""이 센트럴 시티는<br>돌즈와의 전투에 있어 중요한 거점입니다."""
ssn_005010_0002#0,"""수많은 아크스가 모여있으니<br>적극적으로 교류를 해 나가주세요."""
ssn_005010_0051#0,"""그 코쿤을 찾아내는데 편리한 방법이 있습니다만<br>괜찮으시다면 알려드릴까요?"""
ssn_005010_0052#0,"""그럼 설명할게요."""
ssn_005010_0101#0,"""코쿤에 대한건 알고계시죠?<br>그렇습니다. 아크스가 훈련을 받는 시설입니다."""
ssn_005010_0102#0,"""코쿤을 찾아내려면, 마그의 기능중 하나인<br>\""액티브 소나\""를 사용하면 찾기 쉬워져요."""
ssn_005010_0103#0,"""소나는 코쿤 등에 반응하여 음파를 내서<br>위치를 알려줍니다."""
ssn_005010_0104#0,"""지금 제가 알고있는 코쿤의 장소를<br>쓰고계신 마그로 전송했습니다."""
ssn_005010_0105#0,"""소나를 확인하시면서<br>가는 김에 코쿤에서 실력 테스트도 해보세요."""
ssn_005010_0106#0,"""그럼, 다녀오세요."""
ssn_005010_0201#0,"""고생 많으셨습니다.<br>액티브 소나의 성능은 실감 되셨나요?"""
ssn_005010_0202#0,"""적극적으로 활용하여<br>코쿤에서 스킬 업을 노려주세요."""
ssn_005010_0203#0,"""열심히 해주세요."""
ssn_005010_0301#0,"""그렇군요…<br>만약 알고싶어지신다면 다시 와주세요."""
