ssc_508020_0010#0,"""응?<br>아아, 너구나."""
ssc_508020_0020#0,"""잠깐 크로포드에게<br>부탁받은 일을 하고 있었어."""
ssc_508020_0030#0,"""……아 그래.<br>지금 시간 있어?"""
ssc_508020_0040#0,"""앞으로 너와 교류할 떄를 대비해서<br>나랑 크로포드에 대한 이야기를 들려주고 싶어."""
ssc_508020_0050#0,"""듣고 싶어."""
ssc_508020_0060#0,"""뭔가 비밀인게……?"""
ssc_508020_0070#0,"""응 알겠어."""
ssc_508020_0080#0,"""그냥 별거 아닌 이야기야."""
ssc_508020_0090#0,"""알다시피, 우리는<br>줄곧 크바리스에서만 살아 왔어."""
ssc_508020_0100#0,"""매일 얼굴을 마주하고<br>이야기를 나누는 것은 가족뿐."""
ssc_508020_0110#0,"""가끔씩 에아리오의 아크스가,<br>방문하곤 했는데……."""
ssc_508020_0120#0,"""잠시 길 안내를 해 주거나,<br>정보 교환을 하는 정도가 전부."""
ssc_508020_0130#0,"""나머지는 오로지<br>새하얀 대지를 마주하는 것 뿐."""
ssc_508020_0140#0,"""다른 형제들은 할아버지의 꿈이었던<br>\""크바리스의 부할\""에 불타고 있었어."""
ssc_508020_0150#0,"""나는 그런 일상에<br>무언가 부족함을 느끼고 있었어."""
ssc_508020_0160#0,"""그러던 어느 날, 단말기로 데이터를 정리하던 중<br>여러 연구 데이터를 모아놓은 포럼을 찾았어."""
ssc_508020_0170#0,"""거기서 한 데이터가 눈에 들어왔어."""
ssc_508020_0180#0,"""나중에 알고 보니 <br>크로포드가 쓴 글이었어."""
ssc_508020_0190#0,"""어쩌다 보니 오류를 발견해서<br>댓글을 달았더니……."""
ssc_508020_0200#0,"""엄청나게 긴 글과 함께<br>여러 질문이 날아왔어."""
ssc_508020_0210#0,"""그렇게 해서 크로포드와의 만남이 시작됐어."""
ssc_508020_0220#0,"""만남이라고 해야 하나,<br>문자로만 주고받은 사이였지만."""
ssc_508020_0230#0,"""그럼 직접 만난 적이 없어?"""
ssc_508020_0240#0,"""혹시 얼굴을 본 적이 없어?"""
ssc_508020_0250#0,"""없어.<br>사실 얼굴도 잘 기억나지 않아."""
ssc_508020_0260#0,"""크로포드도 내 얼굴을,<br>잘 모르겠지."""
ssc_508020_0270#0,"""아니, 설마 그럴 리가……？"""
ssc_508020_0280#0,"""어라?<br>근데 크로포드의 얼굴이 잘 기억나지 않네."""
ssc_508020_0290#0,"""그래도,<br>서로 사진을 보낸 적은 있네."""
ssc_508020_0300#0,"""예전에 찍은 사진."""
ssc_508020_0310#0,"""너희들도 그걸 바탕으로,<br>나를 찾았다고 들었는데."""
ssc_508020_0320#0,"""사진과 본인의 인상이 달랐다."""
ssc_508020_0330#0,"""다른 남매와 착각했다."""
ssc_508020_0340#0,"""어? 그래?"""
ssc_508020_0350#0,"""그럼 혹시,<br>다른 형제자매로 착각한 건가?"""
ssc_508020_0360#0,"""우리 얼굴이 비슷하니까……."""
ssc_508020_0370#0,"""옷이나 머리 색깔을 바꾸면 못 알아볼지도 몰라"""
ssc_508020_0380#0,"""아, 그럼,<br>찾을 때 어렵게 만들었구나."""
ssc_508020_0390#0,"""우리 남매는,<br>얼굴 생김새가 꽤 비슷하니까."""
ssc_508020_0400#0,"""옷이나 머리 색깔을 바꾸면 못 알아볼지도 몰라"""
ssc_508020_0410#0,"""뭐, 다시 돌아와서……."""
ssc_508020_0420#0,"""얼굴을 보지 않아도,<br>보고서 내용만 봐도 상대방의 감정은 짐작할 수 있으니까."""
ssc_508020_0430#0,"""얼마나 열심히 하고 있는가 라든지,<br>이 근처에서 고생을 하겠구나~라든지."""
ssc_508020_0440#0,"""직접 얼굴을 맞대고,<br>말을 주고받지 않아도 서로 통한다고 해야 하나."""
ssc_508020_0450#0,"""지금도 기술적인 상담을 할 때는,<br>문자만 주고받는 경우가 많아."""
ssc_508020_0460#0,"""그런 식으로 크로포드와는,<br>친구 같은, 그냥 연구 동료 같은 관계가 지속되고 있어."""
ssc_508020_0470#0,"""최근에는 다른 연구자들과 교류할 기회도 많아졌는데,<br>크로포드만큼 정확하고 빠른 답변을 해주는 사람이 없더라고."""
ssc_508020_0480#0,"""다시 한 번 대단한 사람이라는 걸<br>새삼스럽게 깨닫고 있어."""
ssc_508020_0490#0,"""아, 이건 당사자에게는 비밀로 해줘.<br>우쭐해질 수도 있으니까."""
ssc_508020_0500#0,"""뭐, 나와 크로포드의 이야기는<br>여기서 끝."""
ssc_508020_0510#0,"""아마 다들 이상한 관계라고<br>생각할지도 모르겠지만."""
ssc_508020_0520#0,"""너는 알아줬으면 좋겠다고 생각했어."""
ssc_508020_0530#0,"""그럼 또 보자."""
