ssc_501110_0010#0,"""후우…….<br>덥네."""
ssc_501110_0020#0,"""리템의 보슬보슬한 공기랑 다르게<br>왠지 끈적끈적한 느낌이야……."""
ssc_501110_0030#0,"""<%me> 너는 괜찮아 보이는데,<br>실은 어때?"""
ssc_501110_0040#0,"""아무렇지 않아."""
ssc_501110_0050#0,"""실은 더워."""
ssc_501110_0060#0,"""그렇구나."""
ssc_501110_0070#0,"""리역시 \""별을 건너는 자\""라서<br>더위나 추위에 강한 모양이네."""
ssc_501110_0080#0,"""응? 그런거였어?"""
ssc_501110_0090#0,"""리템이나 크바리스에선<br>전혀 문제 없어 보였는데."""
ssc_501110_0100#0,"""그래도 우리는<br>이런저런 곳에 갈 수 있으니까 괜찮지만……."""
ssc_501110_0110#0,"""그렌 일행은<br>여기서 자고 일어나고 하는 거지?"""
ssc_501110_0120#0,"""스티아는 돌즈와 싸우는 것도 힘들지만,<br>가장 큰 적은 이 더위일지도 몰라."""
ssc_501110_0130#0,"""싸움에 지쳐 돌오더라도<br>이래서야 느긋하게 쉴 수도 없을 것 같네."""
ssc_501110_0140#0,"""밤 낮 없이 계속<br>싸우는 거니까……."""
ssc_501110_0150#0,"""적어도 캠프 안에서 만큼은<br>편하게 지냈으면 좋겠는데."""
ssc_501110_0160#0,"""쓸데없는 참견……일지도 모르겠지만."""
ssc_501110_0170#0,"""뭔가<br>우리가 도울 수 있는 일은 없을까……?"""
ssc_501110_0180#0,"""뭔가 선물이라던가."""
ssc_501110_0190#0,"""기분 전환을 할 수 있는 것을."""
ssc_501110_0200#0,"""선물……?<br>으음. 뭐가 좋을까."""
ssc_501110_0210#0,"""아, 그러고 보니!"""
ssc_501110_0220#0,"""중앙부를 목표로 하고 있을 때<br>밥을 해준 적이 있었지."""
ssc_501110_0230#0,"""기분전환…….<br>으음. 뭐가 좋을까."""
ssc_501110_0240#0,"""아, 전에처럼 요리 같은걸 해주면<br>다들 기뻐해 주려나?"""
ssc_501110_0250#0,"""다들 항상 딱딱한 빵 가은걸 먹고 있잖아<br>사실은 맛있는 걸 먹고 싶을 거야."""
ssc_501110_0260#0,"""응 좋겠네!"""
ssc_501110_0270#0,"""조언해 줘서 고마워!"""
ssc_501110_0280#0,"""그럼 우선 식재료를 준비해야겠네."""
ssc_501110_0290#0,"""그렇지……."""
ssc_501110_0300#0,"""그 때는 다들 몸도 마음도 피곤해 보여서<br>따뜻한 걸 만들었었는데……."""
ssc_501110_0310#0,"""이번에는 재충전을 하는 느낌으로<br>시원한 걸로 해볼까나."""
ssc_501110_0320#0,"""크바리스의 야채나 과일이라면<br>좋은 느낌으로 만들 수 있을 거 같아."""
ssc_501110_0330#0,"""응 응, 좋은 아이디어가 떠올랐어!"""
ssc_501110_0340#0,"""당장 찾으러 가봐야겠네."""
