name_7449#0,"""시오지"""
ssn_015514_0010#0,"""고마워!"""
ssn_015514_0020#0,"""그 이야기란,<br>희귀한 광석에 대한 소문이야."""
ssn_015514_0030#0,"""그 광석의 이름은 \""인페리움\""."""
ssn_015514_0040#0,"""메디오라 외곽 제1구라는 곳에서<br>발견되었다고 하던데."""
ssn_015514_0050#0,"""그 데이터를 얻고 싶어서."""
ssn_015514_0060#0,"""다만…… 아무래도 이 광석은<br>언제든 채취할 수 있는 게 아닌 것 같아서."""
ssn_015514_0070#0,"""날씨와 관련이 있다는 이야기도 있지만,<br>확실한 정보는 알 수 없어."""
ssn_015514_0080#0,"""찾는 건 꽤나 힘들 지도 모르겠네."""
ssn_015514_0090#0,"""어려운 부탁이지만,<br>자네라면 잘 해낼 수 있을 거라 믿어."""
ssn_015514_0100#0,"""그럼 부탁할게."""
