name_7656#0,"""세그렛트"""
ssn_005050_0001#0,"""처음 뵙겠습니다…… 만나 뵙게 되어 기쁩니다……."""
ssn_005050_0002#0,"""앞으로 잘 부탁드립니다……."""
ssn_005050_0101#0,"""무기의 \""잠재 능력\""……이라고,<br>알고 계신가요……?"""
ssn_005050_0051#0,"""모르신다면…… 알려 드릴까요……?"""
ssn_005050_0052#0,"""네……. 그럼…… 설명드리겠습니다."""
ssn_005050_0102#0,"""각각의 무기에는……,<br>숨겨진 능력이…… 있습니다."""
ssn_005050_0103#0,"""어느 정도 무기를 강화하면……,<br>그 잠재 능력을…… 해방할 수…… 있습니다."""
ssn_005050_0104#0,"""한 번 시험해 보시면…… 좋을 겁니다."""
ssn_005050_0105#0,"""다만…… 잠재 능력을 해방하려면……,<br>포톤 \""광석\""이…… 필요합니다……."""
ssn_005050_0106#0,"""소재를 모아서……,<br>아이템 랩에…… 가 보세요."""
ssn_005050_0201#0,"""잠재 능력…… 해방해 보니 어떠셨나요……."""
ssn_005050_0202#0,"""강화한 무기와……,<br>촉매인 \""광석\""……."""
ssn_005050_0203#0,"""어떤 무기에…… 어떤 능력이……,<br>숨겨져 있을까요……."""
ssn_005050_0204#0,"""……여러 가지,<br>시험해…… 보세요……."""
ssn_005050_0301#0,"""그렇군요…….<br>흥미가 생기면…… 다시 말을 걸어 주세요……."""
