name_7446#0,"""소우야"""
ssn_015630_0001#0,"""소비가 많은 물건일수록<br>넉넉하게 확보해두고 싶어."""
ssn_015630_0002#0,"""너도 귀찮아하지 말고,<br>발견한 건 줍는 게 좋을 거야."""
ssn_015630_0101#0,"""안녕! 네 활약은<br>나한테도 전해졌어."""
ssn_015630_0102#0,"""하지만 우리들의 스티아 활동이<br>아직 끝난 건 아니야.."""
ssn_015630_0103#0,"""오히려 이전보다 더<br>바빠지고 있어."""
ssn_015630_0104#0,"""……그래서<br>다시 한 번 너의 도움을 받고 싶어."""
ssn_015630_0201#0,"""이번 조사 대상은<br>스티아 리전에 있는 붉은색 컨테이너야."""
ssn_015630_0202#0,"""스티아 곳곳을 돌아다니면서<br>최대한 많은 데이터를 수집해줘.."""
ssn_015630_0301#0,"""흠…… 너도 바쁘겠지…….<br>다음에 또 부탁할게."""
ssn_015630_0401#0,"""오, 돌아왔구나."""
ssn_015630_0402#0,"""꽤 많은 붉은 컨테이너를 찾아낸 것 같네."""
ssn_015630_0403#0,"""덕분에 우리도<br>귀중한 정보를 얻을 수 있었어."""
ssn_015630_0404#0,"""그건 그렇고, 화산 안쪽에 있는 컨테이너는 누가 놓은 걸까?"""
ssn_015630_0405#0,"""……뭐, 그 부분에 대한 조사는<br>연구자들에게 맡겨야겠지."""
ssn_015630_0406#0,"""어쨌든 네 덕분에 물자 보관 상황이<br>이전보다 훨씬 좋아졌어."""
ssn_015630_0407#0,"""협조해줘서 고마워. <br>정말 고마워."""
ssn_015630_0501#0,"""나는 싸움을 잘하는 편은 아니지만,<br>동료를 지키고자 하는 마음은 누구에게도 지지 않을 거야."""
ssn_015630_0502#0,"""너를 포함한 동료들의 활동을<br>뒤에서 든든하게 지원할게."""
