name_7662#0,"""단트레이"""
ssn_011121_0001#0,"""그럼 이야기 하지."""
ssn_011121_0101#0,"""음…<br>아무래도 클래스가 헌터는 아닌 것 같네."""
ssn_011121_0102#0,"""싸우는 법을 배우고 싶다면 \""클래스 카운터\""에서 <br>클래스를 헌터로 변경하고 와줘."""
ssn_011121_0103#0,"""그리고 헌터의 \""클래스 스킬\""도<br>잊지말고 배워두라고!"""
ssn_011121_0104#0,"""…그렇지만 일단 헌터에 대해서<br>이야기는 좀 해둘까."""
ssn_011121_0201#0,"""헌터는 근거리 전투가 장점인 클래스다!"""
ssn_011121_0202#0,"""적의 공격을 가드하며 스텝으로 회피하고… 강력한 카운터를 때려박는다!<br>그게 기본적인 전투법이다."""
ssn_011121_0203#0,"""클래스 스킬을 활용하면 에너미와의 근접전에서도 기죽지 않고<br>카운터 공격을 노릴 수 있게 될테지."""
ssn_011121_0204#0,"""우선 \""메시브 헌터\""를 연습해보는게 좋을거야."""
ssn_011121_0205#0,"""과제를 줄 테니깐 한번 해봐!"""
ssn_011121_0300#0,"""그런가…<br>헌터로써 제 몫을 하고 싶다면 다시 오도록 해!"""
