name_7661#0,"""바시니아"""
ssq_013020_0010#0,"""수고했어.<br>무사히 타워를 공략했나 보네."""
ssq_013020_0020#0,"""타워는 코쿤보다 더 높은 훈련 효과를 얻을 수 있으니까<br>또 찾으면 도전해봐."""
ssq_013020_0030#0,"""그때는 또<br>해제대로 전투력을 올리고 나서 향하도록 해."""
ssq_013020_0035#0,"""아 그래.<br>전투력이라면…"""
ssq_013020_0040#0,"""전투력이 부족하면<br>참가할 수 없는 긴급 작전 같은 것도 있기도 해."""
ssq_013020_0050#0,"""만일의 경우에 대비해서 전투력을 높여 두면 좋을 거야.<br>그럼 앞으로도 힘내."""
ssq_013020_0201#0,"""라고 생각했는데 이미 타워를 답파했잖아?"""
ssq_013020_0202#0,"""그런건 빨리 말해줘. 창피하잖아."""
ssq_013020_0203#0,"""경험을 쌓아서<br>전투력도 제대로 올리고 있는 것 같네."""
ssq_013020_0213#0,"""아 그래.<br>전투력이라면…"""
ssq_013020_0204#0,"""전투력이 부족하면<br>참가할 수 없는 긴급 작전 같은 것도 있기도 해."""
ssq_013020_0205#0,"""만일의 경우에 대비해서 전투력을 높여 두면 좋을 거야.<br>그럼 앞으로도 힘내."""
