name_7425#0,"""아디라"""
ssn_012030_0001#0,"""센트럴 시티에 어서와!"""
ssn_012030_0002#0,"""동료가 늘어나서 기뻐!<br>모두 함께 힘내보자!"""
ssn_012030_0101#0,"""네가 브루더가 말한 사람이구나!<br>들었어. 전투에서 쓸만한 정보 말이지?"""
ssn_012030_0102#0,"""그렇네…<br>그럼 장비품의 \""특수 능력\""은 알고 있어?"""
ssn_012030_0103#0,"""잘 모른다면 알려주도록 할까!"""
ssn_012030_0104#0,"""좋아! 그럼 잘 들어둬!"""
ssn_012030_0105#0,"""\""특수 능력\""이란 건 말이지<br>간단히 말해서 무기나 방어구의 능력을 보정하는 거야."""
ssn_012030_0106#0,"""다음에 장비의 데이터를 확인할 때<br>주의깊게 봐 둬."""
ssn_012030_0107#0,"""그래서 말인데…  사실은 이 \""특수 능력\""은<br>같은 장비에 추가하거나 다른 장비에 바꿔 넣는 것이 가능해."""
ssn_012030_0108#0,"""장비의 튜닝은 \""아이템 랩\""에서 하고 있지만<br>\""특수 능력 캡슐\""이란 것이 필요하단 말이지…."""
ssn_012030_0109#0,"""내가 가지고 있는 특수 능력 캡슐을 줄게!<br>이걸 가지고 아이템 랩에 가봐!"""
ssn_012030_0201#0,"""그래? 만약 알고 싶어지면 또 와줘!"""
