name_7418#0,"""베르크만"""
ssn_005090_0001#0,"""오, 새로 온 아크스인가. 잘 왔어."""
ssn_005090_0002#0,"""여긴 내가 좋아하는 곳이거든.<br>날씨가 좋은 날에는 경치가 끝내줘."""
ssn_005090_0101#0,"""얘기로는<br>그 사이에 실력을 많이 쌓았다던데."""
ssn_005090_0051#0,"""그래서, 당신한테 좀 부탁하고 싶은 게 있거든.<br>받아 줄 수 있어?"""
ssn_005090_0052#0,"""그럼, 부탁할게."""
ssn_005090_0102#0,"""마그너스 산이라는 데 알아?<br>여기서도 보이는 저기 높은 산이야."""
ssn_005090_0103#0,"""내가 더 없이 사랑하는 산 중 하나인데<br>… 아니, 이 얘기는 접어 두고…."""
ssn_005090_0104#0,"""거기 \""나구르스\""라는 돌즈가 있어.<br>그 놈을 해치워 줬으면 해."""
ssn_005090_0105#0,"""상당히 강한 놈이라서 다른 사람들도 애먹고 있거든."""
ssn_005090_0106#0,"""나도 같이 가서 혼쭐을 내주고 싶지만….<br>나는 아크스가 아니라서 말이야… 싸우지를 못하거든."""
ssn_005090_0107#0,"""그래서, 소질이 있는 당신한테 부탁하는 거야."""
ssn_005090_0108#0,"""나구르스는 산에서 에너미를 쓰러트리다 보면<br>파수견처럼 나타난다나 봐."""
ssn_005090_0109#0,"""힘들겠지만, 부디 최선을 다해 줘."""
ssn_005090_0201#0,"""해냈구나.<br>굉장한데!"""
ssn_005090_0202#0,"""다른 사람들도 기뻐하고 있어.<br>고마워."""
ssn_005090_0203#0,"""역시 당신에게 부탁하길 잘했어.<br>내가 사람 하나는 잘 고른 모양이야."""
ssn_005090_0204#0,"""앞으로도 무슨 일이 있으면 또 부탁할게."""
ssn_005090_0301#0,"""그렇구나…전투에는 준비가 필요한 법이니까.<br>느닷없이 부탁해서 미안해. 다음에 부탁할게."""
