ssc_507010_0010#0,"""<%me>인가."""
ssc_507010_0020#0,"""어떤가.<br>옛날이야기 좀 들어주지 않겠나?"""
ssc_507010_0030#0,"""흥미로워."""
ssc_507010_0040#0,"""조금이라면."""
ssc_507010_0050#0,"""음."""
ssc_507010_0060#0,"""뭐 그렇게까지 말하지 않아도 된다네."""
ssc_507010_0070#0,"""나는<br>지금까지 이곳… 에르노자를 좋아하지 않았다."""
ssc_507010_0080#0,"""그날의 일이<br>떠올라서 말이지."""
ssc_507010_0090#0,"""나데레프가,<br>사람들 앞에서 노래를 불렀던 그날을."""
ssc_507010_0100#0,"""고요해진 주민들 앞에서<br>나데레프는 얼굴빛을 잃고 있었다."""
ssc_507010_0110#0,"""황급히 내가 모두를 물러나게 했지만<br>남겨진 나데레프는 말없이 어깨를 떨고 있었다."""
ssc_507010_0120#0,"""그런 얼굴은<br>그 전에도, 그 후에도 본 적이 없었다."""
ssc_507010_0130#0,"""…그때까지<br>나데레프에게는 노래의 힘이 있다고 생각했었다."""
ssc_507010_0140#0,"""노래의 힘은,<br>부모로부터 자식에게 전해진다."""
ssc_507010_0150#0,"""그 힘은<br>함부로 남에게 보여 줘선 안된다."""
ssc_507010_0160#0,"""특히 그 힘이 안정되기 전인<br>어린 시절에 말이지."""
ssc_507010_0170#0,"""어린 나데레프는<br>어머니 알데리아 앞에서만 노래하곤 했다."""
ssc_507010_0180#0,"""당시 알데리아는<br>내게 나데레프의 노래의 힘 얘기를 해 줬다네."""
ssc_507010_0190#0,"""나데레프의 힘은<br>언젠가는 자기를 능가할 거라고."""
ssc_507010_0200#0,"""…알데리아가 세상을 떠난 지금에 와서는<br>그 말의 진의를 알 수 없네."""
ssc_507010_0210#0,"""내가 생각하기에 알데리아가 느꼈던 것은<br>나데레프의 노래의 힘이 아닌…"""
ssc_507010_0220#0,"""나데레프의 노래에 공명하는 자신의 힘을,<br>나데레프의 힘으로 오인하고 있던 것은 아닐까 하고."""
ssc_507010_0230#0,"""…어찌됐든, 이후 자네들이 오기 전까지는<br>나데레프의 진짜 힘은 그 누구도 눈치채지 못한 채로 있었다네."""
ssc_507010_0240#0,"""그 뒤 나데레프 이야기는<br>앞서 말한 대로다."""
ssc_507010_0250#0,"""부족한 노래의 힘을 메우기라도 하듯<br>오로지 무예를 닦는 데 매달렸지."""
ssc_507010_0260#0,"""그런 나데레프를 떠받치려<br>우리 역시 그저 힘만 좇게 되었지."""
ssc_507010_0270#0,"""나데레프가 노래를 부르지 않게 되면서<br>리템의 음악 문화는 시들어 갔다네."""
ssc_507010_0280#0,"""오는 날도 가는 날도 적과 싸우고<br>지쳐 쓰러져 잠들고."""
ssc_507010_0290#0,"""정신 차려 보니 그것의 반복이었지."""
ssc_507010_0300#0,"""이대로라면<br>언젠가 리템의 아크스는 파탄날 것이다."""
ssc_507010_0310#0,"""내가 그렇게 위기감을 느끼기 시작할 무렵<br>홀연히 나타난 게 그대들이었다."""
ssc_507010_0320#0,"""이 자들이라면,<br>뭔가 바꾸어 주겠지."""
ssc_507010_0330#0,"""지금 돌이켜보면 아무런 근거도 없지만,<br>그대들이 싸우는 그 모습을 보고 그렇게 생각했다."""
ssc_507010_0340#0,"""…그 이후는<br>그대들이 더 잘 알겠지."""
ssc_507010_0350#0,"""나데레프의 진정한 힘이 드러나며,<br>레누스 리템의 토벌이 이루어졌다."""
ssc_507010_0360#0,"""그리고 리템에 음악이 돌아왔다."""
ssc_507010_0370#0,"""다시 한 번 감사를 전하겠다."""
ssc_507010_0380#0,"""나도 리템의 음악을 좋아한다."""
ssc_507010_0390#0,"""싸움과 노래는 표리일체?"""
ssc_507010_0400#0,"""고마워."""
ssc_507010_0410#0,"""모두에게 전해 줘.<br>기뻐할 거야."""
ssc_507010_0420#0,"""그래.<br>리템의 아크스에게는 빼놓을 수 없는 존재다."""
ssc_507010_0430#0,"""그 사실을 깨닫는 데까지<br>몇 년이나 걸렸어."""
ssc_507010_0440#0,"""그대들 덕분에,<br>지금은 이 땅에 발을 딛는 것조차 괴롭지 않게 되었다."""
ssc_507010_0450#0,"""정말 많은 신세를 졌다."""
ssc_507010_0460#0,"""이제부터는 우리가 그 빚을 갚을 차례다."""
ssc_507010_0470#0,"""어려운 일이 있다면,<br>무엇이든 말해 주게."""
