name_7402#0,"""웰미나"""
ssn_015170_0001#0,"""아, 새 \""별을 건너는 자\""구나?<br>아직 여기 온지 얼마 안 됐나 보네."""
ssn_015170_0002#0,"""좀 더 강해지면<br>다시 나한테 와 줘!"""
ssn_015170_0101#0,"""아, 와줬구나!<br>난 아크스 조수 교관 웰미나라고 해."""
ssn_015170_0102#0,"""……아, 분명 교관 치곤 어린애같다고 생각했지?<br>이래봬도 제자도 엄청 많거든!"""
ssn_015170_0103#0,"""그건 그렇고, 네 얘기는 자주 들었어.<br>많이 강해졌다던데."""
ssn_015170_0104#0,"""웨이커의 전투법을 알고 싶다면 이것저것 가르쳐줄게.<br>날 선생님이라고 부르도록!"""
ssn_015170_0201#0,"""훈련은 제대로 하고 있어?"""
ssn_015170_0202#0,"""패밀리어와의 팀워크,<br>착착 맞춰나가 봐!"""
ssn_015170_0301#0,"""응, 알았어~.<br>또 와야 돼, 꼭이야!"""
ssn_015170_0401#0,"""열심히 훈련해야 해!"""
ssn_015170_0402#0,"""패밀리어랑 호흡이 착착 맞게끔<br>힘내!"""
