name_7691#0,"""우프"""
ssn_014640_0001#0,"""요즘 들어 본 적 없는 에너미가 출현하고 있어."""
ssn_014640_0002#0,"""제법 귀찮은 녀석들이던데.<br>어떻게 된 일인지……."""
ssn_014640_0101#0,"""너군……."""
ssn_014640_0102#0,"""마침 잘 됐어.<br>한 가지 부탁해도 될까."""
ssn_014640_0201#0,"""도착했군.<br>그 주변에 있을 거야."""
ssn_014640_0202#0,"""부탁한다."""
ssn_014640_0301#0,"""그래. 마음이 바뀌면 언제든 말을 걸어줘."""
ssn_014640_0401#0,"""전투가 길어지면 번거로워질 거야.<br>이퀄라이징 에너미를 제일 먼저 쳐야 해."""
ssn_014640_0402#0,"""낭보를 기다리겠다."""
ssn_014640_0501#0,"""잘 해줬어.<br>네게 맡기길 잘했군."""
ssn_014640_0502#0,"""너같은 아크스가 있다는 게 듬직할 따름이야.<br>또 무슨 일이 생기면, 부탁하지."""
ssn_014640_0601#0,"""너같은 아크스가 있다는 게<br>듬직할 따름이야."""
ssn_014640_0602#0,"""또 무슨 일이 생기면, 부탁하지."""
